party,state,votes,constituency,candidate
All India Trinamool Congress,Assam,582,Goalpara West,ZESMINA KHATUN
Independent,Assam,523,Goalpara West,MIZANUR RAHMAN
Republican Party of India (A),Assam,489,Goalpara West,KHANINDRA CHANDRA NATH
Independent,Assam,480,Goalpara West,BABLI GOSWAMI CHAKRABORTY
Jai Maha Bharath Party,Assam,457,Goalpara West,ALI AKBAR
Independent,Assam,289,Goalpara West,JALI BEGUM
National People's Party,Assam,269,Goalpara West,JOYNAL ABEDIN
New All India Congress Party,Assam,252,Goalpara West,GIAS UDDIN AHMED
None of the Above,Assam,646,Goalpara West,None of the Above
Indian National Congress,Assam,57374,Goalpara East,ABUL KALAM RASHEED ALAM
Bharatiya Janata Party,Assam,54793,Goalpara East,GAURANGA PRASAD DAS
All India United Democratic Front,Assam,27778,Goalpara East,SHADEED MAZUMDER
All India United Democratic Front,Assam,56003,Jaleswar,SAHAB UDDIN AHMED
Independent,Assam,49341,Jaleswar,AFTAB UDDIN MOLLAH
Bharatiya Janata Party,Assam,11535,Jaleswar,ABDUR RAHIM ZIBRAN
Indian National Congress,Assam,6567,Jaleswar,ABUL FAZAL NASIR UDDIN MOLLAH
Bhartiya Rashtrawadi Party,Assam,1433,Jaleswar,ABDUL WAHAB SHEIKH
Independent,Assam,1355,Jaleswar,KHAIRUL ISLAM MONDAL
Independent,Assam,12138,Goalpara East,ABUL KALAM HUSSAIN
All India Trinamool Congress,Assam,7172,Goalpara East,ELBARTH MARAK
National People's Party,Assam,6710,Goalpara East,PUNAM CHAND SHARMA (LILU)
Nationalist Congress Party,Assam,971,Goalpara East,KOFIL UDDIN AHMED
Independent,Assam,770,Goalpara East,BIRMAL RAY
Bhartiya Rashtrawadi Party,Assam,592,Goalpara East,SOLEMAN ALI
Independent,Assam,495,Goalpara East,NAREN SANKAR RABHA
Republican Party of India (A),Assam,483,Goalpara East,MEHBUBAR RAHMAN
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,761,Jaleswar,ABDUS SALAM
Independent,Assam,690,Jaleswar,INNAS ALI
None of the Above,Assam,627,Jaleswar,None of the Above
Independent,Assam,447,Goalpara East,MUJAHARUL ISLAM
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,420,Goalpara East,ABDUL HAMID
None of the Above,Assam,1064,Goalpara East,None of the Above
Bharatiya Janata Party,Assam,56454,Sorbhog,RANJEET KUMAR DASS
Indian National Congress,Assam,36928,Sorbhog,ANURUPA HANNAN
Communist Party of India  (Marxist),Assam,29082,Sorbhog,MANORANJAN TALUKDAR
Independent,Assam,19387,Sorbhog,PRADIP DEB NATH
All India United Democratic Front,Assam,17504,Sorbhog,SAMSUL HOQUE
Independent,Assam,3755,Sorbhog,ANILANANDA PATHAK
Independent,Assam,1181,Sorbhog,HIMANGSHU BHARALI
Independent,Assam,1010,Sorbhog,MOHIDUL ISLAM
Independent,Assam,630,Sorbhog,NIRMAL KUMAR AGARWALA
The National Road Map Party of India,Assam,602,Sorbhog,IKBAL HUSSAIN
Republican Party of India (A),Assam,466,Sorbhog,MANJU SHABNAM
Jan Congress Party,Assam,435,Sorbhog,MUKTAR HUSSAIN
Bharatiya Gana Parishad,Assam,414,Sorbhog,SUBAL CH. DAS
Independent,Assam,370,Sorbhog,ABDUL HAKIM AHMED
None of the Above,Assam,1129,Sorbhog,None of the Above
All India United Democratic Front,Assam,28383,Bhabanipur,ABUL KALAM AZAD
Independent,Assam,25944,Bhabanipur,PHANIHDAR TALUKDAR
Bharatiya Janata Party,Assam,22380,Bhabanipur,MANOJ BARUAH
Independent,Assam,14500,Bhabanipur,MILAN BARO
Independent,Assam,8748,Bhabanipur,KANAK CHANDRA BARO
Indian National Congress,Assam,6620,Bhabanipur,RAJIB DAS
Rashtriya Secular Congress,Assam,921,Bhabanipur,KAZI SHAMSUL ARFIN
Independent,Assam,511,Bhabanipur,BHUPENDRA KALITA
Republican Party of India (A),Assam,447,Bhabanipur,SATYACHARAN ARJYA
Rashtriya Jankranti Party,Assam,401,Bhabanipur,ANOWAR ISLAM AKAND
Independent,Assam,378,Bhabanipur,HAIDAR ALI
Independent,Assam,341,Bhabanipur,MESER MOLLAH
None of the Above,Assam,706,Bhabanipur,None of the Above
Asom Gana Parishad,Assam,64558,Patacharkuchi,PABINDRA DEKA
Indian National Congress,Assam,12582,Patacharkuchi,SAILEN KALITA
Independent,Assam,12306,Patacharkuchi,KAMALESWAR MEDHI
Independent,Assam,8227,Patacharkuchi,MANORANJAN DAS
Independent,Assam,3134,Patacharkuchi,KARTIK DEKA
Independent,Assam,960,Patacharkuchi,BAIKUNTHA SARMA
Independent,Assam,936,Patacharkuchi,PUSPAK DUTTA
Independent,Assam,846,Patacharkuchi,NILIMA BHATTACHARJYA
None of the Above,Assam,1043,Patacharkuchi,None of the Above
Asom Gana Parishad,Assam,63563,Barpeta,GUNINDRA NATH DAS
Indian National Congress,Assam,57753,Barpeta,A.RAHIM AHMED
All India United Democratic Front,Assam,37697,Barpeta,ABDUR RAHIM KHAN
Independent,Assam,936,Barpeta,SANJAY KUMAR DAS
Republican Party of India,Assam,820,Barpeta,ATIKUR RAHMAN
Independent,Assam,774,Barpeta,FARUK KHAN
Independent,Assam,672,Barpeta,SORHAB HUSSAIN
None of the Above,Assam,937,Barpeta,None of the Above
Indian National Congress,Assam,86930,Jania,ABDUL KHALEQUE
All India United Democratic Front,Assam,57194,Jania,RAFIQUL ISLAM
Bharatiya Janata Party,Assam,6067,Jania,BENAZIR ARFAN
Communist Party of India  (Marxist),Assam,1976,Jania,MAINUL HOQUE
Rashtriya Secular Congress,Assam,769,Jania,AMIR HUSSAIN
Rashtriya Jankranti Party,Assam,506,Jania,MD. SULTAN MAHMUD
None of the Above,Assam,689,Jania,None of the Above
Indian National Congress,Assam,70062,Sarukhetri,JAKIR HUSSAIN SIKDAR
Asom Gana Parishad,Assam,45815,Sarukhetri,CHITTARANJAN BARMAN
All India United Democratic Front,Assam,21460,Sarukhetri,ALI HOSSAIN
Independent,Assam,9623,Sarukhetri,TARA PRASAD DAS
Communist Party of India  (Marxist),Assam,3626,Sarukhetri,PEARUL ISLAM AHMED
Independent,Assam,1308,Sarukhetri,HARESWAR DEKA
The National Road Map Party of India,Assam,836,Sarukhetri,MATIAR RAHMAN
Bharatiya Gana Parishad,Assam,523,Sarukhetri,HEMANTA KALITA
Rashtriya Jankranti Party,Assam,516,Sarukhetri,MD. ANOWAR ISLAM AKAND
Republican Party of India,Assam,505,Sarukhetri,JABIDUR RAHMAN KHAN
Nationalist Congress Party,Assam,442,Sarukhetri,ARUN DAS
None of the Above,Assam,776,Sarukhetri,None of the Above
Indian National Congress,Assam,73340,Baghbar,SHERMAN ALI AHMED
All India United Democratic Front,Assam,29907,Baghbar,SHEIKH ABDUL HAMID
Independent,Assam,18357,Baghbar,RAJIB AHMED
Bharatiya Janata Party,Assam,1418,Baghbar,MD. ABDUL BARIK
Janata Congress Party of Bharat Varsha,Assam,1022,Baghbar,ALTAF HUSSAIN
Bhartiya Rashtrawadi Party,Assam,868,Baghbar,JAMAL UDDIN
Indian National Congress,Assam,51882,Chenga,SUKUR ALI AHMED
All India United Democratic Front,Assam,28525,Chenga,MONOWARA KHATUN
Bharatiya Janata Party,Assam,25902,Chenga,GUNAJIT ADHIKARY
All India Trinamool Congress,Assam,2190,Chenga,SHAFIKUL HOQUE
Independent,Assam,639,Chenga,SURJYA MALLIQUE
None of the Above,Assam,667,Chenga,None of the Above
Independent,Assam,642,Baghbar,JAHIDUL ISLAM
Republican Party of India,Assam,435,Baghbar,REJAUL KARIM
All India Trinamool Congress,Assam,411,Baghbar,ALI ASGAR
None of the Above,Assam,974,Baghbar,None of the Above
Indian National Congress,Assam,69986,Boko SC,NANDITA DAS
Asom Gana Parishad,Assam,52392,Boko SC,JYOTI PRASAD DAS
All India United Democratic Front,Assam,42338,Boko SC,GOPI NATH DAS
Independent,Assam,5794,Boko SC,DR. GHANASHYAM DAS
Independent,Assam,2976,Boko SC,ANIRBAN DAS
Independent,Assam,1148,Boko SC,NITISH RANJAN DAS
None of the Above,Assam,1851,Boko SC,None of the Above
Indian National Congress,Assam,72211,Chaygaon,REKIBUDDIN AHMED
Asom Gana Parishad,Assam,64390,Chaygaon,DR. KAMALA KANTA KALITA
All India United Democratic Front,Assam,4984,Chaygaon,DERAJUDDIN AHMED
Independent,Assam,2225,Chaygaon,BECKNIUR K. MARAK
None of the Above,Assam,1601,Chaygaon,None of the Above
Bharatiya Janata Party,Assam,75210,Palasbari,SRI PRANAB KALITA
Indian National Congress,Assam,26468,Palasbari,NABAJYOTI TALUKDAR
Independent,Assam,15755,Palasbari,JATIN MALI
Independent,Assam,991,Palasbari,KUSHAL CHANDRA SARMA
Liberal Democratic Party,Assam,980,Palasbari,JURI MALI
Rashtriya Jankranti Party,Assam,467,Palasbari,PALASH JYOTI DAS
None of the Above,Assam,1564,Palasbari,None of the Above
Bharatiya Janata Party,Assam,118390,Jalukbari,HIMANTA BISWA SARMA
Indian National Congress,Assam,32455,Jalukbari,NIREN DEKA
Independent,Assam,636,Jalukbari,RAMEN CHANDRA LAHKAR
Rashtriya Jankranti Party,Assam,614,Jalukbari,AMIT BASFOR
All India Trinamool Congress,Assam,371,Jalukbari,SADEK ALI
Independent,Assam,290,Jalukbari,NABA KUMAR NATH
Bharatiya Gana Parishad,Assam,180,Jalukbari,BAPI AICH
Bhartiya Rashtrawadi Party,Assam,168,Jalukbari,MOINUL HOQUE
Republican Party of India (A),Assam,164,Jalukbari,NATHUNI  DAS
Rashtriya Pragati Party,Assam,164,Jalukbari,MAKANI BARMAN
None of the Above,Assam,1074,Jalukbari,None of the Above
Bharatiya Janata Party,Assam,127602,Gauhati East,SIDDHARTHA BHATTACHARYA
Indian National Congress,Assam,30965,Gauhati East,BOBBEETA SHARMA
Bharatiya Gana Parishad,Assam,591,Gauhati East,DR. AVIJIT CHAKRABORTY
Liberal Democratic Party,Assam,499,Gauhati East,PRODYUT KUMAR BORA
Independent,Assam,377,Gauhati East,RAKTIMAVA SWAMI
Independent,Assam,243,Gauhati East,BIPUL KUMAR TALUKDAR
Independent,Assam,196,Gauhati East,BHUPEN SARMA
Rashtriya Secular Congress,Assam,189,Gauhati East,PRADIP KUMAR DAS
The National Road Map Party of India,Assam,182,Gauhati East,SUBHASH CHANDRA GUPTA
Independent,Assam,181,Gauhati East,KAZI NEKIB AHMED
Republican Party of India (A),Assam,137,Gauhati East,PRANAB JYOTI DAS
Rashtriya Jankranti Party,Assam,129,Gauhati East,BANDANA BARMAN BARUAH
None of the Above,Assam,1288,Gauhati East,None of the Above
Asom Gana Parishad,Assam,132184,Gauhati West,RAMENDRA NARAYAN KALITA
Indian National Congress,Assam,42274,Gauhati West,DR. JURY SHARMA BORDOLOI
Independent,Assam,12397,Gauhati West,HEMANTA TALUKDAR
Independent,Assam,5838,Gauhati West,PRANAB SARMAH
All India Trinamool Congress,Assam,4269,Gauhati West,DEBA KUMAR BARMAN
Independent,Assam,1771,Gauhati West,JAYANTA BORO
The National Road Map Party of India,Assam,1741,Gauhati West,MD. JAVED HUSSAIN TANWAR
Independent,Assam,763,Gauhati West,MD. IFTAZUR RAHMAN
Bharatiya Gana Parishad,Assam,684,Gauhati West,SUBIMAL BISWAS
Lok Jan Shakti Party,Assam,613,Gauhati West,MITAN SARKAR
Shivsena,Assam,612,Gauhati West,PULAK RANJAN CHAKRABARTY
Rashtriya Pragati Party,Assam,496,Gauhati West,HASNUR ALI
Rashtriya Jankranti Party,Assam,398,Gauhati West,MANAS PRATIM DAS
Bharatiya Janata Party,Assam,55096,Hajo,SUMAN HARIPRIYA
Indian National Congress,Assam,46188,Hajo,DULU AHMED
Asom Gana Parishad,Assam,16608,Hajo,NURUL HUSSAIN
All India Trinamool Congress,Assam,6673,Hajo,DWIPEN PATHAK
All India United Democratic Front,Assam,3567,Hajo,MUJIBUR RAHMAN
None of the Above,Assam,2280,Gauhati West,None of the Above
Bharatiya Janata Party,Assam,198378,Dispur ,ATUL BORA
Indian National Congress,Assam,68181,Dispur ,AKON BORA
Communist Party of India  (Marxist),Assam,1944,Dispur ,SANGITA DAS
Independent,Assam,1756,Dispur ,HARESWAR RAHANG
Nationalist Congress Party,Assam,1259,Dispur ,PRADIP BARUAH
All India Trinamool Congress,Assam,1022,Dispur ,BIDYUT BORA
Independent,Assam,1380,Hajo,HEMANTA KALITA
Independent,Assam,1017,Hajo,RAMANI MALAKAR
National People's Party,Assam,696,Hajo,IMDADUR RAHMAN
Independent,Assam,556,Hajo,RAMEN CHANDRA LAHKAR
Independent,Assam,501,Hajo,TRIPTI KANA MAZUMDAR CHOUDHURY
Independent,Assam,369,Hajo,TAHER ALI TALUKDAR
Samajwadi Party,Assam,338,Hajo,MD. REKIBUDDIN AHMED
Rashtriya Pragati Party,Assam,301,Hajo,MAKANI BARMAN
Independent,Assam,717,Dispur ,DADHISWAR PHANGCHO
Independent,Assam,614,Dispur ,BISHNU PRASAD SARMA
Independent,Assam,551,Dispur ,GOBINDA DAS
Bhartiya Rashtrawadi Party,Assam,485,Dispur ,RIJUMONI GOGOI
Liberal Democratic Party,Assam,420,Dispur ,DR. JITENDRA KUMAR TALUKDAR
Samajwadi Party,Assam,384,Dispur ,DR. FARUK AHMED BHUYAN
Rashtriya Jankranti Party,Assam,336,Dispur ,BANDANA BARMAN BARUAH
Liberal Democratic Party,Assam,261,Hajo,MOHAN CHANDRA MALAKAR
Rashtriya Secular Congress,Assam,240,Hajo,TABIBAR RAHMAN
Independent,Assam,214,Hajo,TAIZUDDIN AHMED
None of the Above,Assam,1163,Hajo,None of the Above
Republican Party of India (A),Assam,222,Dispur ,PARAG KOCH
None of the Above,Assam,2600,Dispur ,None of the Above
Asom Gana Parishad,Assam,78170,Kamalpur,SATYABRAT KALITA
Indian National Congress,Assam,41261,Kamalpur,PRANJIT CHOUDHURY
Independent,Assam,6882,Kamalpur,MATLEBUDDIN AHMED
Independent,Assam,3400,Kamalpur,OMAR RASHID
All India Trinamool Congress,Assam,1840,Kamalpur,MADHABI DEKA
Independent,Assam,1021,Kamalpur,HARMOHAN CHANDRA RAJBONGSHI
Jai Maha Bharath Party,Assam,650,Kamalpur,RAMEN CHANDRA MAHANTA
Independent,Assam,505,Kamalpur,SAIDUR RAHMAN
Independent,Assam,441,Kamalpur,REKIBAR RAHMAN
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,361,Kamalpur,SISIR KUMAR  KAKATI
None of the Above,Assam,939,Kamalpur,None of the Above
Bharatiya Janata Party,Assam,58353,Rangia,BHABESH KALITA
Indian National Congress,Assam,26286,Rangia,GHANASHYAM KALITA
Independent,Assam,17772,Rangia,MRINAL DEKA
All India United Democratic Front,Assam,14411,Rangia,ABDUL SAMAD CHOUDHURY
Communist Party of India  (Marxist),Assam,12261,Rangia,ANANTA DEKA
Independent,Assam,5358,Rangia,THANESWAR BORO
Independent,Assam,4472,Rangia,SAMSUL HAQUE
Independent,Assam,1230,Rangia,PABITRA BARO
Independent,Assam,1066,Rangia,RAJIB KAKOTI
Independent,Assam,616,Rangia,BISWAJIT BRAHMA
Independent,Assam,570,Rangia,BABUL BARO
None of the Above,Assam,892,Rangia,None of the Above
Bodoland Peoples Front,Assam,63031,Tamulpur,EMMANUEL MOSAHARY
Indian National Congress,Assam,43084,Tamulpur,RABINDRA BISWAS
Independent,Assam,21704,Tamulpur,CHANDI BASUMATARY
Independent,Assam,5331,Tamulpur,JAMIR UDDIN AHMED
Independent,Assam,3532,Tamulpur,GIRISH CHANDRA MAHANTA
Independent,Assam,3120,Tamulpur,MANDAL BASKEY
Independent,Assam,1697,Tamulpur,HIRANYA CHOUDHURY
Liberal Democratic Party,Assam,1527,Tamulpur,DERHAGRA MOCHAHARY
Republican Party of India (A),Assam,1339,Tamulpur,RANJIT KR BISWAS
None of the Above,Assam,2674,Tamulpur,None of the Above
Bharatiya Janata Party,Assam,99131,Nalbari,ASHOK SARMA
Indian National Congress,Assam,46087,Nalbari,PRADYUT KUMAR BHUYAN
Independent,Assam,3608,Nalbari,KHURSHID ALAM
Independent,Assam,3028,Nalbari,SHRISTI SARMA
Communist Party of India  (Marxist),Assam,1676,Nalbari,MAHESWAR DUTTA
Independent,Assam,698,Nalbari,HARINARAYAN DAS
Independent,Assam,611,Nalbari,JYOTIRMAY GOSWAMI
Independent,Assam,398,Nalbari,MAHARISHI PARASAR CHAKRAVARTY
Independent,Assam,271,Nalbari,GOPI BARUAH
Janata Dal  (United),Assam,229,Nalbari,JITEN KALITA
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,222,Nalbari,MUNINDRA DOLEY
None of the Above,Assam,1576,Nalbari,None of the Above
Bharatiya Janata Party,Assam,69223,Barkhetry,NARAYAN DEKA
Indian National Congress,Assam,60610,Barkhetry,DIGANTA BARMAN
All India United Democratic Front,Assam,9950,Barkhetry,MD. AKRAM HUSSAIN TALUKDAR
Independent,Assam,2316,Barkhetry,KAMALESH DEKA
All India Trinamool Congress,Assam,874,Barkhetry,RAAJU BARMAN
Jai Maha Bharath Party,Assam,670,Barkhetry,DEEPAK KALITA
Independent,Assam,551,Barkhetry,BHUPEN TALUKDAR
Independent,Assam,475,Barkhetry,MANOMATI DAS
Independent,Assam,382,Barkhetry,BIPUL GOSWAMI
Independent,Assam,368,Barkhetry,MANTU BARUAH
Independent,Assam,347,Barkhetry,RAJU DEKA
Liberal Democratic Party,Assam,255,Barkhetry,BHUMIDHAR BARMAN
None of the Above,Assam,782,Barkhetry,None of the Above
Bharatiya Janata Party,Assam,70503,Dharmapur,CHANDRA MOHAN PATOWARY
Indian National Congress,Assam,36560,Dharmapur,NILAMANI SEN DEKA
Independent,Assam,2194,Dharmapur,DIPAK BARMAN
Rashtriya Jankranti Party,Assam,699,Dharmapur,SANKAR TALUKDAR
None of the Above,Assam,988,Dharmapur,None of the Above
Bodoland Peoples Front,Assam,45289,Barama,MANESWAR BRAHMA
Independent,Assam,35493,Barama,REKHA RANI DAS BORO
Independent,Assam,20870,Barama,KATI RAM BARO
Indian National Congress,Assam,14373,Barama,PANI RAM RABHA
Independent,Assam,1484,Barama,BHUPEN DAS
None of the Above,Assam,1977,Barama,None of the Above
Bodoland Peoples Front,Assam,43250,Chapaguri,THANESWAR BASUMATARY
Independent,Assam,41769,Chapaguri,SUJAN DAS
Independent,Assam,27342,Chapaguri,HITESH BASUMATARY
None of the Above,Assam,2058,Chapaguri,None of the Above
Bodoland Peoples Front,Assam,38668,Panery,KAMALI BASUMATARI
Independent,Assam,22866,Panery,NANDA RAM BARO
Indian National Congress,Assam,19089,Panery,DURGADAS BORO
Independent,Assam,12812,Panery,PRABHAT DAS PANIKA
Independent,Assam,3644,Panery,SUDHENDU MOHAN TALUKDAR
Independent,Assam,3276,Panery,BIKAN CHANDRA DEKA
Independent,Assam,1978,Panery,MAHESH CHANDRA SARMA
Independent,Assam,1489,Panery,DINA NATH DAS
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,1364,Panery,SWARNALATA CHALIHA
None of the Above,Assam,2427,Panery,None of the Above
Bodoland Peoples Front,Assam,47206,Kalaigaon,MAHESWAR BARO
All India United Democratic Front,Assam,29585,Kalaigaon,NATHU RAM BORO
Asom Gana Parishad,Assam,24287,Kalaigaon,MUKUNDA RAM CHOUDHURY
Independent,Assam,11344,Kalaigaon,BABUL BASUMATARY
Indian National Congress,Assam,10367,Kalaigaon,INDRAJIT KUMAR SAIKIA
Bharatiya Gana Parishad,Assam,2238,Kalaigaon,SUDHENDU MOHAN TALUKDAR
Independent,Assam,1411,Kalaigaon,BRAJEN MAHANTA
Independent,Assam,1140,Kalaigaon,RADHE SHYAM CHAUHAN
Independent,Assam,783,Kalaigaon,BIJOY DAS
New All India Congress Party,Assam,708,Kalaigaon,AROON BAROOA
Independent,Assam,634,Kalaigaon,DR. NAYAN MANI BHAGAWATI
Lok Jan Shakti Party,Assam,594,Kalaigaon,SUSHIL KUMAR SARMA
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,531,Kalaigaon,JITENDRA CHALIHA
Independent,Assam,484,Kalaigaon,GOPAL SARKAR
Independent,Assam,305,Kalaigaon,ABDUL SABUR
None of the Above,Assam,1199,Kalaigaon,None of the Above
Bharatiya Janata Party,Assam,65487,Sipajhar,BINANDA KUMAR SAIKIA
Indian National Congress,Assam,53312,Sipajhar,DR ZOII NATH SARMAH
Independent,Assam,10818,Sipajhar,JAYANTA SAHARIA
All India United Democratic Front,Assam,2476,Sipajhar,SYED ABDULLAH
Republican Party of India (A),Assam,1033,Sipajhar,TRIDIB SARMA
Independent,Assam,793,Sipajhar,REJAUL HOQUE
Independent,Assam,780,Sipajhar,SARAT CHANDRA SARMA
Lok Jan Shakti Party,Assam,351,Sipajhar,THANESWAR DAS
Independent,Assam,339,Sipajhar,UMESH BANIA
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,242,Sipajhar,PAHESWARI BARUA
Independent,Assam,171,Sipajhar,AMIYA KUMAR DEKA
None of the Above,Assam,953,Sipajhar,None of the Above
Bharatiya Janata Party,Assam,73423,Mangaldoi,GURUJYOTI DAS
Indian National Congress,Assam,51378,Mangaldoi,BASANTA DAS
All India United Democratic Front,Assam,48417,Mangaldoi,HIREN KR DAS
Independent,Assam,953,Mangaldoi,JITENDRA SARKAR
Lok Jan Shakti Party,Assam,874,Mangaldoi,BHUPEN CH. DAS
Independent,Assam,841,Mangaldoi,ARJUN CH. DAS
Independent,Assam,466,Mangaldoi,JAGADISH CHANDRA SARKAR
None of the Above,Assam,1384,Mangaldoi,None of the Above
Indian National Congress,Assam,76607,Dalgaon,ILIAS ALI
All India United Democratic Front,Assam,74287,Dalgaon,MAZIBUR RAHMAN
Asom Gana Parishad,Assam,24714,Dalgaon,HABIBAR RAHMAN
Independent,Assam,1016,Dalgaon,SARIFUDDIN AHMED
Independent,Assam,926,Dalgaon,ABDUR RAHIM
Independent,Assam,900,Dalgaon,MUSTAFA FAROOK AHMED
Lok Jan Shakti Party,Assam,707,Dalgaon,AHMED ALI
None of the Above,Assam,1165,Dalgaon,None of the Above
Bodoland Peoples Front,Assam,48351,Majbat,CHARAN BORO
All India United Democratic Front,Assam,22133,Majbat,TEHARU GOUR
Indian National Congress,Assam,20577,Majbat,RAPHAEL KUJUR
Independent,Assam,8763,Majbat,RABINDRA BASUMATARY
Independent,Assam,2841,Majbat,SAPNA DAIMARY
Independent,Assam,2117,Majbat,GIRISH CHANDRA CHAUDHURY
Independent,Assam,1906,Majbat,SUNIL SARKAR
Lok Jan Shakti Party,Assam,1276,Majbat,BALDEV CHOUHAN
Independent,Assam,1007,Majbat,LAL SOREN
Independent,Assam,707,Majbat,MANOJ KUMAR TAMULI
Independent,Assam,380,Majbat,ABUL QUASIM
None of the Above,Assam,1974,Majbat,None of the Above
Bharatiya Janata Party,Assam,71425,Dhekiajuli,ASHOK  SINGHAL
Indian National Congress,Assam,36430,Dhekiajuli,HABUL CHAKRABORTY
All India United Democratic Front,Assam,16690,Dhekiajuli,DHANIRAM RAJOWAR
Independent,Assam,8142,Dhekiajuli,BENUDHAR NATH
Independent,Assam,2972,Dhekiajuli,RANJAY BASUMATARY
Independent,Assam,2164,Dhekiajuli,JAHIRUL ISLAM
Independent,Assam,1603,Dhekiajuli,SATRUGHNA SASONI
Independent,Assam,1159,Dhekiajuli,MOHAN CH NAG
Independent,Assam,1127,Dhekiajuli,MANORANJAN DAIMARI
None of the Above,Assam,2368,Dhekiajuli,None of the Above
Bharatiya Janata Party,Assam,53912,Barchalla,GANESH KUMAR LIMBU
Indian National Congress,Assam,30230,Barchalla,TANKA BAHADUR RAI
All India United Democratic Front,Assam,23821,Barchalla,BINA DAIMARI
Independent,Assam,8847,Barchalla,NARAYAN SARMAH
Independent,Assam,1216,Barchalla,BIPHAI MINJ
None of the Above,Assam,1778,Barchalla,None of the Above
Bodoland Peoples Front,Assam,45037,Udalguri,RIHON DAIMARI
Independent,Assam,20663,Udalguri,ANJALI PRABHA DAIMARI
Independent,Assam,20204,Udalguri,DILIP KR. BARO
Indian National Congress,Assam,16343,Udalguri,JAMAN SINGH BRAHMA
Independent,Assam,3624,Udalguri,BIPUL NARZARY
Independent,Assam,1668,Udalguri,SANTOSH MADAHI
None of the Above,Assam,2456,Udalguri,None of the Above
Asom Gana Parishad,Assam,71170,Tezpur,BRINDABAN GOSWAMI
Indian National Congress,Assam,36507,Tezpur,HIRANYA BHUYAN
All India United Democratic Front,Assam,22295,Tezpur,SUKENDRA NATH
Independent,Assam,1096,Tezpur,BIZIT SAIKIA
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,855,Tezpur,NAYAN MONI CHOUDHURY
Independent,Assam,742,Tezpur,BHABANANDA DEKA
Jai Maha Bharath Party,Assam,662,Tezpur,SUJIT SARMA
Nationalist Congress Party,Assam,569,Tezpur,MAHENDRA BHUYAN
None of the Above,Assam,1514,Tezpur,None of the Above
Bharatiya Janata Party,Assam,51597,Rangapara,PALLAB LOCHAN DAS
Indian National Congress,Assam,28606,Rangapara,BHIMANANDA TANTI
All India United Democratic Front,Assam,13281,Rangapara,BIJOY KUMAR TIRU
Communist Party of India  (Marxist),Assam,8033,Rangapara,ROYAL SORENG
Independent,Assam,6415,Rangapara,CHRISTOPHER DHANWAR
Independent,Assam,3438,Rangapara,ABHIJIT HAZARIKA
Independent,Assam,1362,Rangapara,JITENDRA KUMAR SHARMA
Independent,Assam,1255,Rangapara,MITHU MALAKAR
Independent,Assam,687,Rangapara,ABBAS KHAN
Independent,Assam,490,Rangapara,ARCHANA PAUL CHOUDHURY
None of the Above,Assam,2321,Rangapara,None of the Above
Bharatiya Janata Party,Assam,60440,Sootea,PADMA HAZARIKA
Indian National Congress,Assam,58622,Sootea,PRANESWAR BASUMATARY
Communist Party of India  (Marxist),Assam,4914,Sootea,KHEMRAJ CHETRY
Independent,Assam,2484,Sootea,JYOTI SUBBA
Independent,Assam,2112,Sootea,MAHENDRA URANG
Independent,Assam,1189,Sootea,ARUN NATH
None of the Above,Assam,1941,Sootea,None of the Above
Bharatiya Janata Party,Assam,64225,Biswanath,PROMOD BORTHAKUR
