party,state,votes,constituency,candidate
Indian National Congress,Assam,54105,Biswanath,NURJAMAL SARKAR
Janata Dal  (United),Assam,2056,Biswanath,GOPI CHAND SHAHABADI
None of the Above,Assam,2341,Biswanath,None of the Above
Bharatiya Janata Party,Assam,52152,Behali,RANJIT DUTTA
Indian National Congress,Assam,28551,Behali,RUPAK SARMA
Communist Party of India  (Marxist-Leninist)  (Liberation),Assam,8025,Behali,BIBEK DAS
Independent,Assam,1573,Behali,ZULFIKAR HUSSAIN
None of the Above,Assam,2495,Behali,None of the Above
Bharatiya Janata Party,Assam,85424,Gohpur,UTPAL BORAH
Indian National Congress,Assam,56489,Gohpur,MONIKA BORA
Communist Party of India  (Marxist-Leninist)  (Liberation),Assam,1189,Gohpur,HALAN PURTTI
Independent,Assam,967,Gohpur,SABIR NARZARY
Independent,Assam,928,Gohpur,DEBEN SAIKIA
None of the Above,Assam,1621,Gohpur,None of the Above
Bharatiya Janata Party,Assam,94550,Jagiroad,SHRI PIJUSH HAZARIKA
Indian National Congress,Assam,66224,Jagiroad,SHRI BIBEKANANDA DALAI
All India United Democratic Front,Assam,7192,Jagiroad,SHRI PUTUL DAS
All India Trinamool Congress,Assam,1357,Jagiroad,SHRI DILIP DAS
Bharatiya Gana Parishad,Assam,576,Jagiroad,SHRI SUKANTA MAZUMDAR
Independent,Assam,523,Jagiroad,SMT. MAMANI DAS
Liberal Democratic Party,Assam,401,Jagiroad,SHRI SURJYA KUMAR DAS
None of the Above,Assam,1142,Jagiroad,None of the Above
Bharatiya Janata Party,Assam,80669,Marigaon,RAMA KANTA DEWRI
Indian National Congress,Assam,51046,Marigaon,JONJONALI BARUAH
Communist Party of India,Assam,3526,Marigaon,SHRI MUNIN MAHANTA
Independent,Assam,2441,Marigaon,SRI LACHIT CH MEDHI
Independent,Assam,1403,Marigaon,SHRI RAMEN NATH
Independent,Assam,920,Marigaon,KHAIRUN NESSA
Independent,Assam,417,Marigaon,DR. DHIREN CHANDRA NATH
None of the Above,Assam,870,Marigaon,None of the Above
Indian National Congress,Assam,57904,Laharighat,DR. NAZRUL ISLAM
All India United Democratic Front,Assam,52098,Laharighat,SIDDIQUE AHMED
Asom Gana Parishad,Assam,25692,Laharighat,SHRI JADUMONI PATAR
Independent,Assam,1752,Laharighat,SHRI RABINDRA NATH BISWAS
Independent,Assam,1494,Laharighat,SHRI RANJIT KUMAR DEKA
None of the Above,Assam,930,Laharighat,None of the Above
Bharatiya Janata Party,Assam,76941,Raha,DIMBESWAR DAS
Indian National Congress,Assam,43867,Raha,SASHI KANTA DAS
All India United Democratic Front,Assam,38767,Raha,GUNESWAR DAS
None of the Above,Assam,2052,Raha,None of the Above
All India United Democratic Front,Assam,82786,Dhing,AMINUL ISLAM
Indian National Congress,Assam,58233,Dhing,ANWAR HUSSAIN
Independent,Assam,17807,Dhing,MUZIBUR RAHMAN
Bharatiya Janata Party,Assam,8958,Dhing,MUKUT KUMAR DEBNATH
Independent,Assam,1004,Dhing,MUBARAK ALI PATHAN
Independent,Assam,843,Dhing,MAINUL HOQUE
Jai Maha Bharath Party,Assam,823,Dhing,RAJANI KANTA NATH
Revolutionary Communist Party of India  (Rasik Bhatt),Assam,737,Dhing,JAMANUR RAHMAN
All India Trinamool Congress,Assam,710,Dhing,JEHIRUL ISLAM
None of the Above,Assam,1358,Dhing,None of the Above
Bharatiya Janata Party,Assam,46343,Batadroba,ANGOORLATA DEKA
Indian National Congress,Assam,40458,Batadroba,GAUTAM BORA
All India United Democratic Front,Assam,33022,Batadroba,NAJIR UDDIN AHMED
Independent,Assam,830,Batadroba,RAJASREE BORA
Communist Party of India  (Marxist-Leninist)  (Liberation),Assam,559,Batadroba,ARUP KUMAR MAHANTA
Independent,Assam,551,Batadroba,MUKUL BORAH
Bharat Vikas Morcha,Assam,434,Batadroba,PABAN PRAN RABI DAS
Independent,Assam,237,Batadroba,DILWAR AHMED
None of the Above,Assam,792,Batadroba,None of the Above
Bharatiya Janata Party,Assam,66706,Nowgong,RUPAK SARMAH
Indian National Congress,Assam,53442,Nowgong,DR. DURLAV CHAMUA
All India United Democratic Front,Assam,18038,Nowgong,KARTICK SAHA
Akhil Bharat Hindu Mahasabha,Assam,491,Nowgong,BIREN CHANDRA DAS
Independent,Assam,376,Nowgong,SHANTANA MAHATO
Indian National Congress,Assam,72627,Rupohihat,NURUL HUDA
All India United Democratic Front,Assam,50783,Rupohihat,NURUL AMIN CHOWDHURY
Bharatiya Janata Party,Assam,15963,Rupohihat,JAKARIA HAQUE CHOUDHURY
Independent,Assam,9671,Rupohihat,ABDUL AZIZ
Jan Congress Party,Assam,1019,Rupohihat,ABU  HANIFA
Independent,Assam,901,Rupohihat,FAIZUR RAHMAN
Independent,Assam,322,Nowgong,JESMIN AHMED
All India Trinamool Congress,Assam,268,Nowgong,MIHIR PAUL
Independent,Assam,230,Nowgong,ANSER ALI ALOM
None of the Above,Assam,782,Nowgong,None of the Above
Independent,Assam,709,Rupohihat,BIJU BORO
Independent,Assam,419,Rupohihat,NAZIR HUSSAIN
None of the Above,Assam,803,Rupohihat,None of the Above
Asom Gana Parishad,Assam,65768,Barhampur,SRI PRAFULLA KUMAR MAHANTA
Indian National Congress,Assam,60599,Barhampur,SURESH BORA
All India United Democratic Front,Assam,2787,Barhampur,SHARIFUL ISLAM SIDDIQUE
Communist Party of India,Assam,1687,Barhampur,LAKHAN CH.MIRDHA
Independent,Assam,1184,Barhampur,PRAHLAD CHANDRA BHUYAN
Rashtriya Jankranti Party,Assam,754,Barhampur,ABIDA BEGUM
Forward Democratic Labour Party,Assam,607,Barhampur,PAWAN PANIKA
Independent,Assam,480,Barhampur,ABDUL ALI
Independent,Assam,461,Barhampur,DEBABRATA SAIKIA
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,284,Barhampur,SONA RAM BORA
None of the Above,Assam,1179,Barhampur,None of the Above
Indian National Congress,Assam,66364,Samaguri,RAKIBUL HUSSAIN
Bharatiya Janata Party,Assam,51849,Samaguri,JITU GOSWAMI
All India United Democratic Front,Assam,6726,Samaguri,MOSKUR RAHMAN CHOUDHURY
Independent,Assam,1282,Samaguri,SRI CHITTA RANJAN PAUL
Independent,Assam,562,Samaguri,PRADIP KALITA
None of the Above,Assam,968,Samaguri,None of the Above
Asom Gana Parishad,Assam,64759,Kaliabor,KESHAB MAHANTA
Indian National Congress,Assam,26769,Kaliabor,BINDU GANJU
All India United Democratic Front,Assam,3682,Kaliabor,BOLORAM NAG
Independent,Assam,2325,Kaliabor,BIJAY KUMAR CHAMARIA
Communist Party of India,Assam,2063,Kaliabor,PROMODE BHUYAN
Independent,Assam,1016,Kaliabor,JAYANTA ORANG
Liberal Democratic Party,Assam,870,Kaliabor,BHUPEN CHANDRA BORAH
Independent,Assam,794,Kaliabor,BHASKAR SHARMA
Bharat Vikas Morcha,Assam,503,Kaliabor,BIREN MIRDHA
None of the Above,Assam,1626,Kaliabor,None of the Above
All India United Democratic Front,Assam,65599,Jamunamukh,ABDUR RAHIM AJMAL
Independent,Assam,52394,Jamunamukh,REJAUL KARIM CHOWDHURY
Indian National Congress,Assam,23849,Jamunamukh,BASHIR UDDIN LASKAR
Asom Gana Parishad,Assam,4732,Jamunamukh,ZIA UDDIN AHMED
Independent,Assam,1956,Jamunamukh,BADAR UDDIN
Independent,Assam,904,Jamunamukh,ABDUL WAHID
Independent,Assam,756,Jamunamukh,SHAMAL DAS
Independent,Assam,653,Jamunamukh,SUMITRA BORAH
Independent,Assam,611,Jamunamukh,JUGAL BODO (DILU)
Jan Congress Party,Assam,489,Jamunamukh,NURUL HOQUE
Jai Maha Bharath Party,Assam,309,Jamunamukh,SUNTI BORA
Independent,Assam,266,Jamunamukh,MINAZ UDDIN
Independent,Assam,233,Jamunamukh,BASIR UDDIN
Independent,Assam,208,Jamunamukh,KAMAL UDDIN
None of the Above,Assam,1129,Jamunamukh,None of the Above
Bharatiya Janata Party,Assam,105615,Hojai,SHILADITYA DEV
All India United Democratic Front,Assam,49756,Hojai,DHANIRAM THOUSEN
Indian National Congress,Assam,35207,Hojai,ARDHENDU KUMAR DEY
Independent,Assam,1432,Hojai,MD ZAKIR HUSSAIN
Independent,Assam,795,Hojai,MAINUL HOQUE
None of the Above,Assam,1342,Hojai,None of the Above
Bharatiya Janata Party,Assam,72072,Lumding,SIBU MISRA
Indian National Congress,Assam,41672,Lumding,NETRA RANJAN MAHANTA
All India United Democratic Front,Assam,39075,Lumding,SWAPAN KAR
Independent,Assam,1109,Lumding,UJJAL DEB
Jan Congress Party,Assam,746,Lumding,KAMRUL ISLAM  BARBHUYAN
Independent,Assam,618,Lumding,KAMAL PATAR
None of the Above,Assam,1232,Lumding,None of the Above
Asom Gana Parishad,Assam,62962,Bokakhat,ATUL BORA
Indian National Congress,Assam,22769,Bokakhat,ARUN PHUKAN
Independent,Assam,11872,Bokakhat,ANIMA GOGOI
Independent,Assam,3414,Bokakhat,REBA KANTA GOGOI
Independent,Assam,1351,Bokakhat,BIJOY KUTUM
Independent,Assam,905,Bokakhat,MRITYUNJOY PEGU
None of the Above,Assam,2181,Bokakhat,None of the Above
Indian National Congress,Assam,67150,Sarupathar,ROSELINA TIRKEY
Asom Gana Parishad,Assam,64223,Sarupathar,BINOD GOWALLA
Independent,Assam,37281,Sarupathar,BISWAJIT PHUKAN
All India United Democratic Front,Assam,7596,Sarupathar,SATYA DEV SAHU
Independent,Assam,4058,Sarupathar,BHADRESWAR TANTI
Independent,Assam,1554,Sarupathar,RUHIT BASUMATARY
Independent,Assam,1189,Sarupathar,DIPU SAIKIA
None of the Above,Assam,3212,Sarupathar,None of the Above
Indian National Congress,Assam,73862,Golaghat,AJANTA NEOG
Bharatiya Janata Party,Assam,68649,Golaghat,BITUPAN SAIKIA
All India United Democratic Front,Assam,1804,Golaghat,SYED JAHID ABDULLAH
Independent,Assam,1193,Golaghat,DIPANKAR DAS
None of the Above,Assam,1717,Golaghat,None of the Above
Bharatiya Janata Party,Assam,57637,Khumtai,MRINAL SAIKIA
Indian National Congress,Assam,40763,Khumtai,BISMITA GOGOI
Communist Party of India,Assam,2005,Khumtai,LALAN THAKUR
All India United Democratic Front,Assam,1763,Khumtai,SAHJAHAN ALI
Independent,Assam,813,Khumtai,HEMANTA DOLOI
None of the Above,Assam,1286,Khumtai,None of the Above
Asom Gana Parishad,Assam,63079,Dergaon,BHABENDRA NATH BHARALI
Indian National Congress,Assam,46807,Dergaon,AROTI HAZARIKA KACHARI
Independent,Assam,3622,Dergaon,RITA DAS
Independent,Assam,3225,Dergaon,BHUBAN CHANDRA SAIKIA
Nationalist Congress Party,Assam,1828,Dergaon,AJIT HAZARIKA
None of the Above,Assam,2050,Dergaon,None of the Above
Bharatiya Janata Party,Assam,69209,Jorhat,HITENDRA NATH GOSWAMI
Indian National Congress,Assam,55571,Jorhat,RANA GOSWAMI
Communist Party of India  (Marxist),Assam,1548,Jorhat,NIRMAL CHANDRA GOGOI
Liberal Democratic Party,Assam,1372,Jorhat,PRODYUT KUMAR BORA
All India United Democratic Front,Assam,842,Jorhat,SANJEEV RAJKHOWA
Independent,Assam,635,Jorhat,BHASKAR JYOTI MAHANTA
Independent,Assam,448,Jorhat,JIBON CHANDRA SARMAH
None of the Above,Assam,1184,Jorhat,None of the Above
Bharatiya Janata Party,Assam,49602,Majuli,SARBANANDA SONOWAL
Indian National Congress,Assam,30679,Majuli,RAJIB LOCHAN PEGU
Independent,Assam,15695,Majuli,RANJIT DOLEY
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,798,Majuli,HEMANTA PEGU
None of the Above,Assam,987,Majuli,None of the Above
Indian National Congress,Assam,62025,Titabar,TARUN GOGOI
Bharatiya Janata Party,Assam,44530,Titabar,KAMAKHYA PRASAD TASA
Communist Party of India,Assam,2413,Titabar,KULA DAS
Bharat Vikas Morcha,Assam,1332,Titabar,BIREN GOGOI
Independent,Assam,763,Titabar,DILIP GOGOI
Independent,Assam,715,Titabar,SMRITIREKHA SHYAM
None of the Above,Assam,1726,Titabar,None of the Above
Indian National Congress,Assam,36701,Mariani,RUPJYOTI KURMI
Nationalist Congress Party,Assam,34908,Mariani,ALOK KUMAR GHOSH
Bharatiya Janata Party,Assam,14602,Mariani,DULEN NAYAK
Independent,Assam,1954,Mariani,JINTU HAZARIKA
Independent,Assam,770,Mariani,DIGANTA PHUKAN
None of the Above,Assam,1613,Mariani,None of the Above
Asom Gana Parishad,Assam,40928,Teok,RENUPOMA RAJKHOWA
Indian National Congress,Assam,35879,Teok,PALLABI SAIKIA GOGOI
Independent,Assam,3923,Teok,GOJANAND MUNDA
Independent,Assam,3645,Teok,BUBUL DUTTA
Independent,Assam,3270,Teok,MOHENDRA KUMAR GOGOI
Communist Party of India  (Marxist-Leninist)  (Liberation),Assam,1611,Teok,JITEN TANTI
Asom Gana Parishad,Assam,42010,Amguri,PRODIP HAZARIKA
Indian National Congress,Assam,40390,Amguri,ANGKITA DUTTA
Independent,Assam,5498,Amguri,DULAL BARUAH
Independent,Assam,3420,Amguri,JANARDAN HAZARIKA
Independent,Assam,1053,Amguri,DILRAM KARMAKAR
All India United Democratic Front,Assam,873,Amguri,GAYATRI BORAH KALITA
Independent,Assam,1441,Teok,RANJAN JYOTI PHUKON
Independent,Assam,1088,Teok,CHIRANJIT BORAH
Independent,Assam,811,Teok,KRISHNAA GOGOI
Independent,Assam,753,Teok,ASHRAF HUSSAIN
Independent,Assam,527,Teok,JOTIN SAIKIA
None of the Above,Assam,1570,Teok,None of the Above
All India Forward Bloc,Assam,699,Amguri,RAJKUMAR DOWARAH
Independent,Assam,672,Amguri,ANWAR HUSSAIN
None of the Above,Assam,1399,Amguri,None of the Above
Indian National Congress,Assam,52869,Nazira,DEBABRATA SAIKIA
Bharatiya Janata Party,Assam,38014,Nazira,PROHLAD GOWALA
Communist Party of India,Assam,4507,Nazira,KANAK GOGOI
Independent,Assam,1501,Nazira,RIBULAYA GOGOI
None of the Above,Assam,1430,Nazira,None of the Above
Bharatiya Janata Party,Assam,49036,Mahmara,JOGEN MOHAN
Indian National Congress,Assam,34711,Mahmara,SURUJ DEHINGIA
Asom Gana Parishad,Assam,9316,Mahmara,HIRANYA KUMAR KONWAR
Independent,Assam,2194,Mahmara,HEMEN PEGU
Bharat Vikas Morcha,Assam,1178,Mahmara,BALDEV TELI
Independent,Assam,1140,Mahmara,PRASUN RAJKONWAR
Jan Congress Party,Assam,872,Mahmara,SUNIT KUMAR MAHANTA
Nationalist Congress Party,Assam,812,Mahmara,RAJEN GOGOI
Liberal Democratic Party,Assam,744,Mahmara,KALI BORUAH
Independent,Assam,731,Mahmara,DIBYA BURAGOHAIN GOGOI
Revolutionary Communist Party of India  (Rasik Bhatt),Assam,448,Mahmara,NITYANANDA GOGOI
Rashtriya Jankranti Party,Assam,251,Mahmara,GIRISH PHUKON
None of the Above,Assam,1795,Mahmara,None of the Above
Bharatiya Janata Party,Assam,73327,Sonari,TOPON KUMAR GOGOI
Indian National Congress,Assam,49210,Sonari,SARAT BARKATAKY
Independent,Assam,1579,Sonari,RATAN HEMROM
Janata Dal  (United),Assam,1330,Sonari,ANUP BHOWMIK
Bharat Vikas Morcha,Assam,1254,Sonari,BISHNU KOYA
Jan Congress Party,Assam,770,Sonari,RAYMOND KUJUR
Liberal Democratic Party,Assam,732,Sonari,MONIL BOKALIAL
None of the Above,Assam,3144,Sonari,None of the Above
Bharatiya Janata Party,Assam,41560,Thowra,KUSHAL DOWARI
Indian National Congress,Assam,40334,Thowra,SUSHANTA BORGOHAIN
Communist Party of India,Assam,2066,Thowra,KUSHAL BORGOHAIN
None of the Above,Assam,1876,Thowra,None of the Above
Indian National Congress,Assam,48584,Sibsagar,PRANAB KUMAR GOGOI
Bharatiya Janata Party,Assam,48042,Sibsagar,SURABHI RAJKONWAR
Independent,Assam,10188,Sibsagar,ASHINI KUMAR CHETIA
Communist Party of India,Assam,2174,Sibsagar,JITEN BORPATRA GOHAIN
Independent,Assam,1506,Sibsagar,JAYANTA RAJKONWAR
Independent,Assam,722,Sibsagar,ANWAR HUSSAIN
All India United Democratic Front,Assam,663,Sibsagar,DILSHAD HUSSAIN AHMED
Liberal Democratic Party,Assam,559,Sibsagar,DR. GUNIN BASUMATARI
None of the Above,Assam,893,Sibsagar,None of the Above
All India United Democratic Front,Assam,56003,Naoboicha,MAMUN IMDADUL HAQUE CHAWDHURY
Bharatiya Janata Party,Assam,54770,Naoboicha,RAO GAJENDRA SINGH
Indian National Congress,Assam,33862,Naoboicha,SANJAY RAJ SUBBA
Asom Gana Parishad,Assam,8070,Naoboicha,JAYANTA KHAUND
Independent,Assam,2787,Naoboicha,SIMANTA BORUAH
Independent,Assam,2481,Naoboicha,PAWAN MAJHI SAUTAL
Independent,Assam,827,Naoboicha,SAHEBA AHMED
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,737,Naoboicha,ANUPAM CHUTIA
Independent,Assam,640,Naoboicha,DR. DEBABRAT GOGOI
Independent,Assam,512,Naoboicha,SOFIQUL ISLAM
Bharatiya Janata Party,Assam,66563,Bihpuria,DEBANANDA HAZARIKA
Indian National Congress,Assam,40376,Bihpuria,BHUPEN KUMAR BORAH
Independent,Assam,754,Bihpuria,PREMADHAR BORAH
Rashtriya Secular Congress,Assam,693,Bihpuria,SUNDER DEURI
Independent,Assam,474,Bihpuria,GARGI DEORI
None of the Above,Assam,834,Bihpuria,None of the Above
Independent,Assam,371,Naoboicha,DILWAR HUSSAIN
None of the Above,Assam,1176,Naoboicha,None of the Above
Asom Gana Parishad,Assam,45917,Lakhimpur,UTPAL DUTTA
Indian National Congress,Assam,41762,Lakhimpur,JOY PRAKASH DAS
Independent,Assam,23493,Lakhimpur,GHANA BURAGOHAIN
Independent,Assam,11272,Lakhimpur,MAHIM HAZARIKA
Independent,Assam,4750,Lakhimpur,UDAY SHANKAR HAZARIKA
All India United Democratic Front,Assam,1313,Lakhimpur,DIPAK CHETIA
Communist Party of India,Assam,1313,Lakhimpur,ARUP KALITA
Independent,Assam,1092,Lakhimpur,MINAKHI GOHAIN BARUAH
Independent,Assam,861,Lakhimpur,HIRA GOGOI
Independent,Assam,730,Lakhimpur,FAZLUR RAHMAN
Independent,Assam,662,Lakhimpur,DILIP DUTTA
Independent,Assam,640,Lakhimpur,NANDA KISHORE MAHESWARI
Independent,Assam,481,Lakhimpur,MAHIM KONWAR
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,344,Lakhimpur,BIRINCHI PEGU
None of the Above,Assam,888,Lakhimpur,None of the Above
Bharatiya Janata Party,Assam,81556,Dhakuakhana,NABA KUMAR DOLEY
Indian National Congress,Assam,57014,Dhakuakhana,BHARAT CHANDRA NARAH
Communist Party of India  (Marxist),Assam,2270,Dhakuakhana,LAKHI NATH SONOWAL
Independent,Assam,2032,Dhakuakhana,DILIP KUMAR CHOWDHURY
Independent,Assam,1855,Dhakuakhana,BHUMI RANJAN DOLEY
Liberal Democratic Party,Assam,812,Dhakuakhana,DR RAJENDRA NATH PEGU
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,422,Dhakuakhana,JUTIKA DOLEY
None of the Above,Assam,1111,Dhakuakhana,None of the Above
Bharatiya Janata Party,Assam,69592,Dhemaji,PRADAN BARUAH
Indian National Congress,Assam,50471,Dhemaji,SUMITRA DOLEY PATIR
Independent,Assam,21874,Dhemaji,PARAMANANDA CHAYENGIA
Independent,Assam,16548,Dhemaji,SAILEN SONOWAL
Communist Party of India  (Marxist),Assam,3830,Dhemaji,GANDHESWAR BORAH
Liberal Democratic Party,Assam,2456,Dhemaji,KIRANBAN DEORI
Independent,Assam,2173,Dhemaji,RAJKUMAR DOLEY
Lok Jan Shakti Party,Assam,1275,Dhemaji,DURGESWAR PATIR
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,524,Dhemaji,HEM KANTA MIRI
None of the Above,Assam,1417,Dhemaji,None of the Above
Independent,Assam,88441,Jonai,BHUBON PEGU
Bharatiya Janata Party,Assam,39148,Jonai,ASWINI PAIT
Independent,Assam,33265,Jonai,SATHO BASUMATARY
Indian National Congress,Assam,30890,Jonai,SUSHIL PEGU
Independent,Assam,5625,Jonai,LENINDRA KUMAR DOLEY
Independent,Assam,2290,Jonai,HITESH DEORI
Independent,Assam,2120,Jonai,BHUPEN NARAH
Independent,Assam,1519,Jonai,JANKI KUMAR PEGU
Independent,Assam,1068,Jonai,NAREN SONOWAL
None of the Above,Assam,1850,Jonai,None of the Above
Bharatiya Janata Party,Assam,54571,Moran,CHAKRADHAR GOGOI
Indian National Congress,Assam,38340,Moran,PABAN SINGH GHATOWAR
Independent,Assam,2322,Moran,ASHOK KUMAR URANG
Communist Party of India,Assam,1650,Moran,HIRANYA BORUAH
Independent,Assam,1464,Moran,SUNIL RAJKONWAR
Independent,Assam,791,Moran,RUBUL BURAGOHAIN
None of the Above,Assam,1673,Moran,None of the Above
Bharatiya Janata Party,Assam,63985,Dibrugarh,PRASANTA PHUKAN
Indian National Congress,Assam,36611,Dibrugarh,CHANDRA KANTA BARUA
Communist Party of India,Assam,1086,Dibrugarh,DIGANTA PHUKAN
Independent,Assam,748,Dibrugarh,BIPUL CHANDRA DAS
Independent,Assam,503,Dibrugarh,AVINASH SINGH
Independent,Assam,501,Dibrugarh,JUGEN KACHARI
Independent,Assam,311,Dibrugarh,PADMESWAR PHUKAN
None of the Above,Assam,1116,Dibrugarh,None of the Above
Bharatiya Janata Party,Assam,59013,Lahowal,RITUPARNA BARUAH
Indian National Congress,Assam,39414,Lahowal,PRITHIBI MAJHI
Communist Party of India,Assam,3022,Lahowal,RAJESH RAJPUT
Independent,Assam,1753,Lahowal,RANJIT KONWAR
Independent,Assam,1568,Lahowal,SOMBHULAL SABOR
Independent,Assam,911,Lahowal,PRIYA NATH GOGOI
Jan Congress Party,Assam,857,Lahowal,BOGA KUMAR NAG
None of the Above,Assam,3039,Lahowal,None of the Above
Bharatiya Janata Party,Assam,58450,Duliajan,TERASH GOWALLA
Indian National Congress,Assam,41364,Duliajan,DHRUBA JYOTI GOGOI
Independent,Assam,4376,Duliajan,AMIYA GOGOI
Independent,Assam,1816,Duliajan,RAMESH CHANDRA PHUKAN
Independent,Assam,1144,Duliajan,HIRANYA SONOWAL (RAJU)
Jan Congress Party,Assam,1037,Duliajan,ANJALI SENAPATI
Independent,Assam,825,Duliajan,JATIN KONWAR
Communist Party of India  (Marxist-Leninist)  (Liberation),Assam,710,Duliajan,SUNIL TANTI
Independent,Assam,651,Duliajan,PROBIN KUMAR HAZARIKA
Independent,Assam,637,Duliajan,ISAK KARKARIA
Shivsena,Assam,542,Duliajan,JHUMA DEB NATH
None of the Above,Assam,2761,Duliajan,None of the Above
Bharatiya Janata Party,Assam,57072,Tingkhong,BIMAL BORAH
Indian National Congress,Assam,38734,Tingkhong,ATUWA MUNDA
Independent,Assam,2935,Tingkhong,ANUP PHUKON
Communist Party of India  (Marxist-Leninist)  (Liberation),Assam,1299,Tingkhong,MIRA TANTI
Independent,Assam,1235,Tingkhong,DILIP BHARALI
Jharkhand Disom Party,Assam,1150,Tingkhong,ELIASH SICHAN
None of the Above,Assam,2075,Tingkhong,None of the Above
Asom Gana Parishad,Assam,46051,Naharkatia,NAREN SONOWAL (BOTALI)
Indian National Congress,Assam,42520,Naharkatia,PRANATEE PHUKAN
Communist Party of India  (Marxist),Assam,4026,Naharkatia,SURESH CH. DEKA
Independent,Assam,2708,Naharkatia,MOHAN NAG
Independent,Assam,783,Naharkatia,MAHENDRA DHADUMIYA
Jan Congress Party,Assam,697,Naharkatia,SADANANDA DAS
None of the Above,Assam,1719,Naharkatia,None of the Above
Bharatiya Janata Party,Assam,69351,Chabua ,BINOD HAZARIKA
Indian National Congress,Assam,38597,Chabua ,RAJU SAHU
Communist Party of India  (Marxist-Leninist)  (Liberation),Assam,2516,Chabua ,DEBNATH MAJHI
Independent,Assam,1315,Chabua ,RABIN CHANDRA KACHARI
Independent,Assam,1252,Chabua ,UTPAL KAKOTI
None of the Above,Assam,3012,Chabua ,None of the Above
Bharatiya Janata Party,Assam,70937,Tinsukia,SANJOY KISHAN
Indian National Congress,Assam,35868,Tinsukia,RAJENDRA PRASAD SINGH
Independent,Assam,4056,Tinsukia,LAKHYAJYOTI BORUAH
Nationalist Congress Party,Assam,1020,Tinsukia,CINTU BARUAH
Jan Congress Party,Assam,773,Tinsukia,ANANTA JYOTI BHATTACHARJEE
Independent,Assam,667,Tinsukia,RAM DARSHAN SINGH
Shivsena,Assam,536,Tinsukia,RAM NARAYAN SINGH
None of the Above,Assam,1986,Tinsukia,None of the Above
Bharatiya Janata Party,Assam,49167,Digboi,SUREN PHUKAN
Indian National Congress,Assam,34874,Digboi,GAUTAM DHANOWAR
Independent,Assam,4841,Digboi,PRANAB CHETIA
Independent,Assam,1166,Digboi,IMRAN SIDDIQUE
Independent,Assam,977,Digboi,BISWANATH SARMA BORDOLOI
Nationalist Congress Party,Assam,923,Digboi,NOGEN DHEKIAL PHUKAN
Independent,Assam,743,Digboi,BHABAKANTA CHUTIA
Independent,Assam,588,Digboi,CHANDAN BAGH
None of the Above,Assam,2246,Digboi,None of the Above
Bharatiya Janata Party,Assam,76365,Margherita,BHASKAR SHARMA
Indian National Congress,Assam,53621,Margherita,PRADYUT BORDOLOI
Independent,Assam,1332,Margherita,NIDAN PURTY
Independent,Assam,1306,Margherita,BISHWANATH SINGHA
Independent,Assam,1289,Margherita,UMESH BORA
Independent,Assam,690,Margherita,PURNA CHETRI
None of the Above,Assam,2137,Margherita,None of the Above
Indian National Congress,Assam,46938,Doom Dooma,DURGA BHUMIJ
Bharatiya Janata Party,Assam,46156,Doom Dooma,DILIP MORAN
Independent,Assam,1481,Doom Dooma,HRISHIKESH BARUAH
Jan Congress Party,Assam,1443,Doom Dooma,MONOJ KUMAR SAWASHI
Independent,Assam,1441,Doom Dooma,RAJESH KARMAKAR
Independent,Assam,846,Doom Dooma,SARFARAZ ALAM
Independent,Assam,642,Doom Dooma,ISAB HUSSAIN
Independent,Assam,571,Doom Dooma,RANJIT SINGH GORH
Independent,Assam,557,Doom Dooma,BHABA KANTA CHUTIA
None of the Above,Assam,3317,Doom Dooma,None of the Above
