status,votes,candidate,state,party,constituency
Result Declared  ,1199,MITHUN NATH,Assam,Republican Party of India (A),Gossaigaon
Result Declared  ,969,RAJENDRA MUSHAHARY,Assam,Independent,Gossaigaon
Result Declared  ,1482,None of the Above,Assam,None of the Above,Gossaigaon
Result Declared  ,64423,RABIRAM NARZARY,Assam,Bodoland Peoples Front,Kokrajhar West
Result Declared  ,47083,DAHIT CHANDRA BRAHMA,Assam,All India United Democratic Front,Kokrajhar West
Result Declared  ,18629,URKHAO GWRA BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,3545,NILIMA BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,1437,BHADRESWAR BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,1116,MUKUNDA KOCH,Assam,Independent,Kokrajhar West
Result Declared  ,1044,SUBHADRA NARZARY,Assam,Independent,Kokrajhar West
Result Declared  ,977,SUJILA BASUMATARY,Assam,Independent,Kokrajhar West
Result Declared  ,775,ARUNA BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,627,RANJOY KR. BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,1285,None of the Above,Assam,None of the Above,Kokrajhar West
Result Declared  ,48354,ABDUL HAI NAGORI,Assam,Indian National Congress,Abhayapuri North
Result Declared  ,46211,BHUPEN ROY,Assam,Asom Gana Parishad,Abhayapuri North
Result Declared  ,32699,ABDUL BATIN KHANDAKAR,Assam,All India United Democratic Front,Abhayapuri North
Result Declared  ,3968,SWAPAN MUKHERJEE,Assam,Independent,Abhayapuri North
Result Declared  ,3315,TAREN CHANDRA RAY,Assam,Communist Party of India  (Marxist),Abhayapuri North
Result Declared  ,836,BHAGIRATH RAY,Assam,Republican Party of India (A),Abhayapuri North
Result Declared  ,501,SAMSUL HOQUE,Assam,Independent,Abhayapuri North
Result Declared  ,803,None of the Above,Assam,None of the Above,Abhayapuri North
Result Declared  ,64421,SUM RONGHANG,Assam,Bharatiya Janata Party,Diphu
Result Declared  ,36185,BIDYA SING ENGLENG,Assam,Indian National Congress,Diphu
Result Declared  ,31647,DR. JAYANTA RONGPI,Assam,Independent,Diphu
Result Declared  ,1975,DIPENDRA RONGPI,Assam,Lok Jan Shakti Party,Diphu
Result Declared  ,1231,MARY KRAMSAPI,Assam,Jan Congress Party,Diphu
Result Declared  ,2803,None of the Above,Assam,None of the Above,Diphu
Result Declared  ,66037,CHANDAN BRAHMA,Assam,Bodoland Peoples Front,Sidli 
Result Declared  ,57049,RWNGWRA NARZARY,Assam,Independent,Sidli 
Result Declared  ,21601,DILIP KUMAR SARANIA,Assam,Independent,Sidli 
Result Declared  ,8083,PANKAJ ISLARY,Assam,All India United Democratic Front,Sidli 
Result Declared  ,1548,PHALMARSTON BRAHMA,Assam,Independent,Sidli 
Result Declared  ,2929,None of the Above,Assam,None of the Above,Sidli 
Result Declared  ,54181,DR. MOTIUR ROHMAN MONDAL,Assam,Indian National Congress,Mankachar 
Result Declared  ,49868,MD. AMINUL ISLAM,Assam,All India United Democratic Front,Mankachar 
Result Declared  ,48358,ZABED ISLAM,Assam,Independent,Mankachar 
Result Declared  ,8490,ABDUL SALAM SHAH,Assam,Bharatiya Janata Party,Mankachar 
Result Declared  ,6718,AMINUL ISLAM,Assam,Independent,Mankachar 
Result Declared  ,1399,RUKUNUR ZAMAN,Assam,Independent,Mankachar 
Result Declared  ,1186,PAHCHAN ALI,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Mankachar 
Result Declared  ,590,MOSTAQUE MD MOKSEDUR HASSAN,Assam,Samajwadi Party,Mankachar 
Result Declared  ,835,None of the Above,Assam,None of the Above,Mankachar 
Result Declared  ,51525,ANANTA KUMAR MALO,Assam,All India United Democratic Front,Abhayapuri South (SC)
Result Declared  ,51334,CHANDAN KUMAR SARKAR,Assam,Indian National Congress,Abhayapuri South (SC)
Result Declared  ,50957,RABIN BANIKYA,Assam,Asom Gana Parishad,Abhayapuri South (SC)
Result Declared  ,1602,NIRMALENDU BANIKYA,Assam,Independent,Abhayapuri South (SC)
Result Declared  ,1304,ASHOK DUTTA,Assam,Republican Party of India (A),Abhayapuri South (SC)
Result Declared  ,694,DHIREN MAJUMDAR,Assam,Jan Congress Party,Abhayapuri South (SC)
Result Declared  ,1113,None of the Above,Assam,None of the Above,Abhayapuri South (SC)
Result Declared  ,76496,PRAMILA RANI BRAHMA,Assam,Bodoland Peoples Front,Kokrajhar East
Result Declared  ,36405,PRATIBHA BRAHMA,Assam,Independent,Kokrajhar East
Result Declared  ,12588,MANU BORGAYARY,Assam,All India United Democratic Front,Kokrajhar East
Result Declared  ,6994,BASANTA KUMAR MEDHI,Assam,Independent,Kokrajhar East
Result Declared  ,1816,AJAY KUMAR NARZARY,Assam,Independent,Kokrajhar East
Result Declared  ,1642,RAJESH NARZARY,Assam,Independent,Kokrajhar East
Result Declared  ,2288,None of the Above,Assam,None of the Above,Kokrajhar East
Result Declared  ,77292,PHANI BHUSAN CHOUDHURY,Assam,Asom Gana Parishad,Bongaigaon
Result Declared  ,45972,SHANKAR PRASAD RAY,Assam,Indian National Congress,Bongaigaon
Result Declared  ,7087,DR. ITESH BORDOLOI,Assam,Independent,Bongaigaon
Result Declared  ,1902,DHIRABATI CHOUDHURY,Assam,Independent,Bongaigaon
Result Declared  ,1404,PRABHAT BAISNAB,Assam,Independent,Bongaigaon
Result Declared  ,1099,FULBAR ALI MOLYA,Assam,Independent,Bongaigaon
Result Declared  ,815,DEEPAK KUMAR DAS,Assam,Independent,Bongaigaon
Result Declared  ,2376,None of the Above,Assam,None of the Above,Bongaigaon
Result Declared  ,29240,KAMALSHING NARZARY,Assam,Bodoland Peoples Front,Bijni
Result Declared  ,27562,AJAY KUMAR RAY,Assam,Bharatiya Gana Parishad,Bijni
Result Declared  ,19350,SANTOSH KHAKHLARY,Assam,Independent,Bijni
Result Declared  ,18197,KAMALESWAR RAY,Assam,All India United Democratic Front,Bijni
Result Declared  ,12619,KHALILUR RAHMAN,Assam,Independent,Bijni
Result Declared  ,5991,GAJENDRA BARMAN,Assam,Communist Party of India  (Marxist),Bijni
Result Declared  ,3861,BISWAJIT RAY,Assam,Indian National Congress,Bijni
Result Declared  ,1236,PHILIP MARANDI,Assam,Jharkhand Disom Party,Bijni
Result Declared  ,1306,None of the Above,Assam,None of the Above,Bijni
Result Declared  ,61007,ABDUR RASHID MANDAL,Assam,Indian National Congress,Goalpara West
Result Declared  ,36668,SHEIKH SHAH ALAM,Assam,All India United Democratic Front,Goalpara West
Result Declared  ,32432,JABEEN BARBHUIYAN,Assam,Bharatiya Janata Party,Goalpara West
Result Declared  ,1154,ANOWAR HUSSAIN,Assam,Asom Gana Parishad,Goalpara West
Result Declared  ,1016,MOHIBUL ISLAM,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Goalpara West
Result Declared  ,582,ZESMINA KHATUN,Assam,All India Trinamool Congress,Goalpara West
Result Declared  ,523,MIZANUR RAHMAN,Assam,Independent,Goalpara West
Result Declared  ,489,KHANINDRA CHANDRA NATH,Assam,Republican Party of India (A),Goalpara West
Result Declared  ,480,BABLI GOSWAMI CHAKRABORTY,Assam,Independent,Goalpara West
Result Declared  ,457,ALI AKBAR,Assam,Jai Maha Bharath Party,Goalpara West
Result Declared  ,289,JALI BEGUM,Assam,Independent,Goalpara West
Result Declared  ,269,JOYNAL ABEDIN,Assam,National People's Party,Goalpara West
Result Declared  ,28383,ABUL KALAM AZAD,Assam,All India United Democratic Front,Bhabanipur
Result Declared  ,25944,PHANIHDAR TALUKDAR,Assam,Independent,Bhabanipur
Result Declared  ,22380,MANOJ BARUAH,Assam,Bharatiya Janata Party,Bhabanipur
Result Declared  ,14500,MILAN BARO,Assam,Independent,Bhabanipur
Result Declared  ,8748,KANAK CHANDRA BARO,Assam,Independent,Bhabanipur
Result Declared  ,252,GIAS UDDIN AHMED,Assam,New All India Congress Party,Goalpara West
Result Declared  ,646,None of the Above,Assam,None of the Above,Goalpara West
Result Declared  ,6620,RAJIB DAS,Assam,Indian National Congress,Bhabanipur
Result Declared  ,921,KAZI SHAMSUL ARFIN,Assam,Rashtriya Secular Congress,Bhabanipur
Result Declared  ,511,BHUPENDRA KALITA,Assam,Independent,Bhabanipur
Result Declared  ,447,SATYACHARAN ARJYA,Assam,Republican Party of India (A),Bhabanipur
Result Declared  ,401,ANOWAR ISLAM AKAND,Assam,Rashtriya Jankranti Party,Bhabanipur
Result Declared  ,378,HAIDAR ALI,Assam,Independent,Bhabanipur
Result Declared  ,341,MESER MOLLAH,Assam,Independent,Bhabanipur
Result Declared  ,57374,ABUL KALAM RASHEED ALAM,Assam,Indian National Congress,Goalpara East
Result Declared  ,54793,GAURANGA PRASAD DAS,Assam,Bharatiya Janata Party,Goalpara East
Result Declared  ,27778,SHADEED MAZUMDER,Assam,All India United Democratic Front,Goalpara East
Result Declared  ,12138,ABUL KALAM HUSSAIN,Assam,Independent,Goalpara East
Result Declared  ,7172,ELBARTH MARAK,Assam,All India Trinamool Congress,Goalpara East
Result Declared  ,706,None of the Above,Assam,None of the Above,Bhabanipur
Result Declared  ,56003,SAHAB UDDIN AHMED,Assam,All India United Democratic Front,Jaleswar
Result Declared  ,49341,AFTAB UDDIN MOLLAH,Assam,Independent,Jaleswar
Result Declared  ,11535,ABDUR RAHIM ZIBRAN,Assam,Bharatiya Janata Party,Jaleswar
Result Declared  ,6567,ABUL FAZAL NASIR UDDIN MOLLAH,Assam,Indian National Congress,Jaleswar
Result Declared  ,6710,PUNAM CHAND SHARMA (LILU),Assam,National People's Party,Goalpara East
Result Declared  ,971,KOFIL UDDIN AHMED,Assam,Nationalist Congress Party,Goalpara East
Result Declared  ,770,BIRMAL RAY,Assam,Independent,Goalpara East
Result Declared  ,592,SOLEMAN ALI,Assam,Bhartiya Rashtrawadi Party,Goalpara East
Result Declared  ,495,NAREN SANKAR RABHA,Assam,Independent,Goalpara East
Result Declared  ,483,MEHBUBAR RAHMAN,Assam,Republican Party of India (A),Goalpara East
Result Declared  ,447,MUJAHARUL ISLAM,Assam,Independent,Goalpara East
Result Declared  ,63563,GUNINDRA NATH DAS,Assam,Asom Gana Parishad,Barpeta
Result Declared  ,57753,A.RAHIM AHMED,Assam,Indian National Congress,Barpeta
Result Declared  ,37697,ABDUR RAHIM KHAN,Assam,All India United Democratic Front,Barpeta
Result Declared  ,936,SANJAY KUMAR DAS,Assam,Independent,Barpeta
Result Declared  ,820,ATIKUR RAHMAN,Assam,Republican Party of India,Barpeta
Result Declared  ,1433,ABDUL WAHAB SHEIKH,Assam,Bhartiya Rashtrawadi Party,Jaleswar
Result Declared  ,1355,KHAIRUL ISLAM MONDAL,Assam,Independent,Jaleswar
Result Declared  ,761,ABDUS SALAM,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Jaleswar
Result Declared  ,690,INNAS ALI,Assam,Independent,Jaleswar
Result Declared  ,627,None of the Above,Assam,None of the Above,Jaleswar
Result Declared  ,420,ABDUL HAMID,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Goalpara East
Result Declared  ,1064,None of the Above,Assam,None of the Above,Goalpara East
Result Declared  ,774,FARUK KHAN,Assam,Independent,Barpeta
Result Declared  ,672,SORHAB HUSSAIN,Assam,Independent,Barpeta
Result Declared  ,937,None of the Above,Assam,None of the Above,Barpeta
Result Declared  ,79983,DIPAK KUMAR RABHA,Assam,Bharatiya Janata Party,Dudhnai
Result Declared  ,51316,SIBCHARAN BASUMATARY,Assam,Indian National Congress,Dudhnai
Result Declared  ,11305,MEERA BASUMATARY,Assam,All India United Democratic Front,Dudhnai
Result Declared  ,7278,KANGKAN KHAKHALARY,Assam,Independent,Dudhnai
Result Declared  ,2936,DEBEN DAIMARY,Assam,Independent,Dudhnai
Result Declared  ,1567,BHUPENDRA RABHA,Assam,Communist Party of India,Dudhnai
Result Declared  ,1413,THARMAN MOMIN,Assam,Independent,Dudhnai
Result Declared  ,1210,RAJESWAR RABHA,Assam,Republican Party of India (A),Dudhnai
Result Declared  ,1054,REXSTAR B. SANGMA,Assam,Independent,Dudhnai
Result Declared  ,850,STINDRO MARAK,Assam,Independent,Dudhnai
Result Declared  ,1142,None of the Above,Assam,None of the Above,Dudhnai
Result Declared  ,64558,PABINDRA DEKA,Assam,Asom Gana Parishad,Patacharkuchi
Result Declared  ,12582,SAILEN KALITA,Assam,Indian National Congress,Patacharkuchi
Result Declared  ,12306,KAMALESWAR MEDHI,Assam,Independent,Patacharkuchi
Result Declared  ,8227,MANORANJAN DAS,Assam,Independent,Patacharkuchi
Result Declared  ,3134,KARTIK DEKA,Assam,Independent,Patacharkuchi
Result Declared  ,960,BAIKUNTHA SARMA,Assam,Independent,Patacharkuchi
Result Declared  ,936,PUSPAK DUTTA,Assam,Independent,Patacharkuchi
Result Declared  ,846,NILIMA BHATTACHARJYA,Assam,Independent,Patacharkuchi
Result Declared  ,1043,None of the Above,Assam,None of the Above,Patacharkuchi
Result Declared  ,70062,JAKIR HUSSAIN SIKDAR,Assam,Indian National Congress,Sarukhetri
Result Declared  ,45815,CHITTARANJAN BARMAN,Assam,Asom Gana Parishad,Sarukhetri
Result Declared  ,21460,ALI HOSSAIN,Assam,All India United Democratic Front,Sarukhetri
Result Declared  ,9623,TARA PRASAD DAS,Assam,Independent,Sarukhetri
Result Declared  ,3626,PEARUL ISLAM AHMED,Assam,Communist Party of India  (Marxist),Sarukhetri
Result Declared  ,1308,HARESWAR DEKA,Assam,Independent,Sarukhetri
Result Declared  ,836,MATIAR RAHMAN,Assam,The National Road Map Party of India,Sarukhetri
Result Declared  ,523,HEMANTA KALITA,Assam,Bharatiya Gana Parishad,Sarukhetri
Result Declared  ,516,MD. ANOWAR ISLAM AKAND,Assam,Rashtriya Jankranti Party,Sarukhetri
Result Declared  ,505,JABIDUR RAHMAN KHAN,Assam,Republican Party of India,Sarukhetri
Result Declared  ,73340,SHERMAN ALI AHMED,Assam,Indian National Congress,Baghbar
Result Declared  ,29907,SHEIKH ABDUL HAMID,Assam,All India United Democratic Front,Baghbar
Result Declared  ,18357,RAJIB AHMED,Assam,Independent,Baghbar
Result Declared  ,1418,MD. ABDUL BARIK,Assam,Bharatiya Janata Party,Baghbar
Result Declared  ,1022,ALTAF HUSSAIN,Assam,Janata Congress Party of Bharat Varsha,Baghbar
Result Declared  ,442,ARUN DAS,Assam,Nationalist Congress Party,Sarukhetri
Result Declared  ,776,None of the Above,Assam,None of the Above,Sarukhetri
Result Declared  ,868,JAMAL UDDIN,Assam,Bhartiya Rashtrawadi Party,Baghbar
Result Declared  ,642,JAHIDUL ISLAM,Assam,Independent,Baghbar
Result Declared  ,435,REJAUL KARIM,Assam,Republican Party of India,Baghbar
Result Declared  ,411,ALI ASGAR,Assam,All India Trinamool Congress,Baghbar
Result Declared  ,974,None of the Above,Assam,None of the Above,Baghbar
Result Declared  ,86930,ABDUL KHALEQUE,Assam,Indian National Congress,Jania
Result Declared  ,57194,RAFIQUL ISLAM,Assam,All India United Democratic Front,Jania
Result Declared  ,6067,BENAZIR ARFAN,Assam,Bharatiya Janata Party,Jania
Result Declared  ,1976,MAINUL HOQUE,Assam,Communist Party of India  (Marxist),Jania
Result Declared  ,769,AMIR HUSSAIN,Assam,Rashtriya Secular Congress,Jania
Result Declared  ,506,MD. SULTAN MAHMUD,Assam,Rashtriya Jankranti Party,Jania
Result Declared  ,689,None of the Above,Assam,None of the Above,Jania
Result Declared  ,51882,SUKUR ALI AHMED,Assam,Indian National Congress,Chenga
Result Declared  ,28525,MONOWARA KHATUN,Assam,All India United Democratic Front,Chenga
Result Declared  ,25902,GUNAJIT ADHIKARY,Assam,Bharatiya Janata Party,Chenga
Result Declared  ,2190,SHAFIKUL HOQUE,Assam,All India Trinamool Congress,Chenga
Result Declared  ,639,SURJYA MALLIQUE,Assam,Independent,Chenga
Result Declared  ,667,None of the Above,Assam,None of the Above,Chenga
Result Declared  ,72211,REKIBUDDIN AHMED,Assam,Indian National Congress,Chaygaon
Result Declared  ,64390,DR. KAMALA KANTA KALITA,Assam,Asom Gana Parishad,Chaygaon
Result Declared  ,4984,DERAJUDDIN AHMED,Assam,All India United Democratic Front,Chaygaon
Result Declared  ,2225,BECKNIUR K. MARAK,Assam,Independent,Chaygaon
Result Declared  ,1601,None of the Above,Assam,None of the Above,Chaygaon
Result Declared  ,69986,NANDITA DAS,Assam,Indian National Congress,Boko SC
Result Declared  ,52392,JYOTI PRASAD DAS,Assam,Asom Gana Parishad,Boko SC
Result Declared  ,42338,GOPI NATH DAS,Assam,All India United Democratic Front,Boko SC
Result Declared  ,5794,DR. GHANASHYAM DAS,Assam,Independent,Boko SC
Result Declared  ,2976,ANIRBAN DAS,Assam,Independent,Boko SC
Result Declared  ,1148,NITISH RANJAN DAS,Assam,Independent,Boko SC
Result Declared  ,1851,None of the Above,Assam,None of the Above,Boko SC
Result Declared  ,132184,RAMENDRA NARAYAN KALITA,Assam,Asom Gana Parishad,Gauhati West
Result Declared  ,42274,DR. JURY SHARMA BORDOLOI,Assam,Indian National Congress,Gauhati West
Result Declared  ,12397,HEMANTA TALUKDAR,Assam,Independent,Gauhati West
Result Declared  ,5838,PRANAB SARMAH,Assam,Independent,Gauhati West
Result Declared  ,4269,DEBA KUMAR BARMAN,Assam,All India Trinamool Congress,Gauhati West
Result Declared  ,1771,JAYANTA BORO,Assam,Independent,Gauhati West
Result Declared  ,1741,MD. JAVED HUSSAIN TANWAR,Assam,The National Road Map Party of India,Gauhati West
Result Declared  ,763,MD. IFTAZUR RAHMAN,Assam,Independent,Gauhati West
Result Declared  ,684,SUBIMAL BISWAS,Assam,Bharatiya Gana Parishad,Gauhati West
Result Declared  ,613,MITAN SARKAR,Assam,Lok Jan Shakti Party,Gauhati West
Result Declared  ,612,PULAK RANJAN CHAKRABARTY,Assam,Shivsena,Gauhati West
Result Declared  ,496,HASNUR ALI,Assam,Rashtriya Pragati Party,Gauhati West
Result Declared  ,398,MANAS PRATIM DAS,Assam,Rashtriya Jankranti Party,Gauhati West
Result Declared  ,2280,None of the Above,Assam,None of the Above,Gauhati West
Result Declared  ,56454,RANJEET KUMAR DASS,Assam,Bharatiya Janata Party,Sorbhog
Result Declared  ,36928,ANURUPA HANNAN,Assam,Indian National Congress,Sorbhog
Result Declared  ,29082,MANORANJAN TALUKDAR,Assam,Communist Party of India  (Marxist),Sorbhog
Result Declared  ,19387,PRADIP DEB NATH,Assam,Independent,Sorbhog
Result Declared  ,17504,SAMSUL HOQUE,Assam,All India United Democratic Front,Sorbhog
Result Declared  ,3755,ANILANANDA PATHAK,Assam,Independent,Sorbhog
Result Declared  ,1181,HIMANGSHU BHARALI,Assam,Independent,Sorbhog
Result Declared  ,1010,MOHIDUL ISLAM,Assam,Independent,Sorbhog
Result Declared  ,630,NIRMAL KUMAR AGARWALA,Assam,Independent,Sorbhog
Result Declared  ,602,IKBAL HUSSAIN,Assam,The National Road Map Party of India,Sorbhog
Result Declared  ,466,MANJU SHABNAM,Assam,Republican Party of India (A),Sorbhog
Result Declared  ,435,MUKTAR HUSSAIN,Assam,Jan Congress Party,Sorbhog
Result Declared  ,414,SUBAL CH. DAS,Assam,Bharatiya Gana Parishad,Sorbhog
Result Declared  ,370,ABDUL HAKIM AHMED,Assam,Independent,Sorbhog
Result Declared  ,1129,None of the Above,Assam,None of the Above,Sorbhog
Result Declared  ,75210,SRI PRANAB KALITA,Assam,Bharatiya Janata Party,Palasbari
Result Declared  ,26468,NABAJYOTI TALUKDAR,Assam,Indian National Congress,Palasbari
Result Declared  ,15755,JATIN MALI,Assam,Independent,Palasbari
Result Declared  ,991,KUSHAL CHANDRA SARMA,Assam,Independent,Palasbari
Result Declared  ,980,JURI MALI,Assam,Liberal Democratic Party,Palasbari
Result Declared  ,127602,SIDDHARTHA BHATTACHARYA,Assam,Bharatiya Janata Party,Gauhati East
Result Declared  ,30965,BOBBEETA SHARMA,Assam,Indian National Congress,Gauhati East
Result Declared  ,591,DR. AVIJIT CHAKRABORTY,Assam,Bharatiya Gana Parishad,Gauhati East
Result Declared  ,499,PRODYUT KUMAR BORA,Assam,Liberal Democratic Party,Gauhati East
Result Declared  ,377,RAKTIMAVA SWAMI,Assam,Independent,Gauhati East
Result Declared  ,467,PALASH JYOTI DAS,Assam,Rashtriya Jankranti Party,Palasbari
Result Declared  ,1564,None of the Above,Assam,None of the Above,Palasbari
Result Declared  ,243,BIPUL KUMAR TALUKDAR,Assam,Independent,Gauhati East
Result Declared  ,196,BHUPEN SARMA,Assam,Independent,Gauhati East
Result Declared  ,189,PRADIP KUMAR DAS,Assam,Rashtriya Secular Congress,Gauhati East
Result Declared  ,182,SUBHASH CHANDRA GUPTA,Assam,The National Road Map Party of India,Gauhati East
Result Declared  ,181,KAZI NEKIB AHMED,Assam,Independent,Gauhati East
Result Declared  ,137,PRANAB JYOTI DAS,Assam,Republican Party of India (A),Gauhati East
Result Declared  ,129,BANDANA BARMAN BARUAH,Assam,Rashtriya Jankranti Party,Gauhati East
Result Declared  ,1288,None of the Above,Assam,None of the Above,Gauhati East
Result Declared  ,118390,HIMANTA BISWA SARMA,Assam,Bharatiya Janata Party,Jalukbari
Result Declared  ,32455,NIREN DEKA,Assam,Indian National Congress,Jalukbari
Result Declared  ,636,RAMEN CHANDRA LAHKAR,Assam,Independent,Jalukbari
Result Declared  ,614,AMIT BASFOR,Assam,Rashtriya Jankranti Party,Jalukbari
Result Declared  ,371,SADEK ALI,Assam,All India Trinamool Congress,Jalukbari
Result Declared  ,290,NABA KUMAR NATH,Assam,Independent,Jalukbari
Result Declared  ,180,BAPI AICH,Assam,Bharatiya Gana Parishad,Jalukbari
Result Declared  ,168,MOINUL HOQUE,Assam,Bhartiya Rashtrawadi Party,Jalukbari
Result Declared  ,164,NATHUNI  DAS,Assam,Republican Party of India (A),Jalukbari
Result Declared  ,164,MAKANI BARMAN,Assam,Rashtriya Pragati Party,Jalukbari
Result Declared  ,1074,None of the Above,Assam,None of the Above,Jalukbari
Result Declared  ,198378,ATUL BORA,Assam,Bharatiya Janata Party,Dispur 
Result Declared  ,68181,AKON BORA,Assam,Indian National Congress,Dispur 
Result Declared  ,1944,SANGITA DAS,Assam,Communist Party of India  (Marxist),Dispur 
Result Declared  ,1756,HARESWAR RAHANG,Assam,Independent,Dispur 
Result Declared  ,1259,PRADIP BARUAH,Assam,Nationalist Congress Party,Dispur 
Result Declared  ,1022,BIDYUT BORA,Assam,All India Trinamool Congress,Dispur 
Result Declared  ,717,DADHISWAR PHANGCHO,Assam,Independent,Dispur 
Result Declared  ,614,BISHNU PRASAD SARMA,Assam,Independent,Dispur 
Result Declared  ,551,GOBINDA DAS,Assam,Independent,Dispur 
Result Declared  ,485,RIJUMONI GOGOI,Assam,Bhartiya Rashtrawadi Party,Dispur 
Result Declared  ,420,DR. JITENDRA KUMAR TALUKDAR,Assam,Liberal Democratic Party,Dispur 
Result Declared  ,384,DR. FARUK AHMED BHUYAN,Assam,Samajwadi Party,Dispur 
Result Declared  ,336,BANDANA BARMAN BARUAH,Assam,Rashtriya Jankranti Party,Dispur 
Result Declared  ,222,PARAG KOCH,Assam,Republican Party of India (A),Dispur 
Result Declared  ,2600,None of the Above,Assam,None of the Above,Dispur 
Result Declared  ,63031,EMMANUEL MOSAHARY,Assam,Bodoland Peoples Front,Tamulpur
Result Declared  ,43084,RABINDRA BISWAS,Assam,Indian National Congress,Tamulpur
Result Declared  ,21704,CHANDI BASUMATARY,Assam,Independent,Tamulpur
Result Declared  ,5331,JAMIR UDDIN AHMED,Assam,Independent,Tamulpur
Result Declared  ,3532,GIRISH CHANDRA MAHANTA,Assam,Independent,Tamulpur
Result Declared  ,3120,MANDAL BASKEY,Assam,Independent,Tamulpur
Result Declared  ,1697,HIRANYA CHOUDHURY,Assam,Independent,Tamulpur
Result Declared  ,1527,DERHAGRA MOCHAHARY,Assam,Liberal Democratic Party,Tamulpur
Result Declared  ,1339,RANJIT KR BISWAS,Assam,Republican Party of India (A),Tamulpur
Result Declared  ,2674,None of the Above,Assam,None of the Above,Tamulpur
Result Declared  ,78170,SATYABRAT KALITA,Assam,Asom Gana Parishad,Kamalpur
Result Declared  ,41261,PRANJIT CHOUDHURY,Assam,Indian National Congress,Kamalpur
Result Declared  ,6882,MATLEBUDDIN AHMED,Assam,Independent,Kamalpur
Result Declared  ,3400,OMAR RASHID,Assam,Independent,Kamalpur
