status,votes,candidate,state,party,constituency
Result Declared  ,1840,MADHABI DEKA,Assam,All India Trinamool Congress,Kamalpur
Result Declared  ,1021,HARMOHAN CHANDRA RAJBONGSHI,Assam,Independent,Kamalpur
Result Declared  ,650,RAMEN CHANDRA MAHANTA,Assam,Jai Maha Bharath Party,Kamalpur
Result Declared  ,505,SAIDUR RAHMAN,Assam,Independent,Kamalpur
Result Declared  ,441,REKIBAR RAHMAN,Assam,Independent,Kamalpur
Result Declared  ,361,SISIR KUMAR  KAKATI,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Kamalpur
Result Declared  ,939,None of the Above,Assam,None of the Above,Kamalpur
Result Declared  ,55096,SUMAN HARIPRIYA,Assam,Bharatiya Janata Party,Hajo
Result Declared  ,46188,DULU AHMED,Assam,Indian National Congress,Hajo
Result Declared  ,16608,NURUL HUSSAIN,Assam,Asom Gana Parishad,Hajo
Result Declared  ,6673,DWIPEN PATHAK,Assam,All India Trinamool Congress,Hajo
Result Declared  ,3567,MUJIBUR RAHMAN,Assam,All India United Democratic Front,Hajo
Result Declared  ,1380,HEMANTA KALITA,Assam,Independent,Hajo
Result Declared  ,1017,RAMANI MALAKAR,Assam,Independent,Hajo
Result Declared  ,696,IMDADUR RAHMAN,Assam,National People's Party,Hajo
Result Declared  ,556,RAMEN CHANDRA LAHKAR,Assam,Independent,Hajo
Result Declared  ,501,TRIPTI KANA MAZUMDAR CHOUDHURY,Assam,Independent,Hajo
Result Declared  ,369,TAHER ALI TALUKDAR,Assam,Independent,Hajo
Result Declared  ,338,MD. REKIBUDDIN AHMED,Assam,Samajwadi Party,Hajo
Result Declared  ,301,MAKANI BARMAN,Assam,Rashtriya Pragati Party,Hajo
Result Declared  ,261,MOHAN CHANDRA MALAKAR,Assam,Liberal Democratic Party,Hajo
Result Declared  ,240,TABIBAR RAHMAN,Assam,Rashtriya Secular Congress,Hajo
Result Declared  ,214,TAIZUDDIN AHMED,Assam,Independent,Hajo
Result Declared  ,1163,None of the Above,Assam,None of the Above,Hajo
Result Declared  ,99131,ASHOK SARMA,Assam,Bharatiya Janata Party,Nalbari
Result Declared  ,46087,PRADYUT KUMAR BHUYAN,Assam,Indian National Congress,Nalbari
Result Declared  ,3608,KHURSHID ALAM,Assam,Independent,Nalbari
Result Declared  ,3028,SHRISTI SARMA,Assam,Independent,Nalbari
Result Declared  ,1676,MAHESWAR DUTTA,Assam,Communist Party of India  (Marxist),Nalbari
Result Declared  ,698,HARINARAYAN DAS,Assam,Independent,Nalbari
Result Declared  ,611,JYOTIRMAY GOSWAMI,Assam,Independent,Nalbari
Result Declared  ,398,MAHARISHI PARASAR CHAKRAVARTY,Assam,Independent,Nalbari
Result Declared  ,271,GOPI BARUAH,Assam,Independent,Nalbari
Result Declared  ,229,JITEN KALITA,Assam,Janata Dal  (United),Nalbari
Result Declared  ,222,MUNINDRA DOLEY,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Nalbari
Result Declared  ,1576,None of the Above,Assam,None of the Above,Nalbari
Result Declared  ,58353,BHABESH KALITA,Assam,Bharatiya Janata Party,Rangia
Result Declared  ,26286,GHANASHYAM KALITA,Assam,Indian National Congress,Rangia
Result Declared  ,17772,MRINAL DEKA,Assam,Independent,Rangia
Result Declared  ,14411,ABDUL SAMAD CHOUDHURY,Assam,All India United Democratic Front,Rangia
Result Declared  ,12261,ANANTA DEKA,Assam,Communist Party of India  (Marxist),Rangia
Result Declared  ,5358,THANESWAR BORO,Assam,Independent,Rangia
Result Declared  ,4472,SAMSUL HAQUE,Assam,Independent,Rangia
Result Declared  ,1230,PABITRA BARO,Assam,Independent,Rangia
Result Declared  ,1066,RAJIB KAKOTI,Assam,Independent,Rangia
Result Declared  ,616,BISWAJIT BRAHMA,Assam,Independent,Rangia
Result Declared  ,570,BABUL BARO,Assam,Independent,Rangia
Result Declared  ,892,None of the Above,Assam,None of the Above,Rangia
Result Declared  ,69223,NARAYAN DEKA,Assam,Bharatiya Janata Party,Barkhetry
Result Declared  ,60610,DIGANTA BARMAN,Assam,Indian National Congress,Barkhetry
Result Declared  ,9950,MD. AKRAM HUSSAIN TALUKDAR,Assam,All India United Democratic Front,Barkhetry
Result Declared  ,2316,KAMALESH DEKA,Assam,Independent,Barkhetry
Result Declared  ,874,RAAJU BARMAN,Assam,All India Trinamool Congress,Barkhetry
Result Declared  ,670,DEEPAK KALITA,Assam,Jai Maha Bharath Party,Barkhetry
Result Declared  ,551,BHUPEN TALUKDAR,Assam,Independent,Barkhetry
Result Declared  ,475,MANOMATI DAS,Assam,Independent,Barkhetry
Result Declared  ,382,BIPUL GOSWAMI,Assam,Independent,Barkhetry
Result Declared  ,368,MANTU BARUAH,Assam,Independent,Barkhetry
Result Declared  ,347,RAJU DEKA,Assam,Independent,Barkhetry
Result Declared  ,255,BHUMIDHAR BARMAN,Assam,Liberal Democratic Party,Barkhetry
Result Declared  ,782,None of the Above,Assam,None of the Above,Barkhetry
Result Declared  ,70503,CHANDRA MOHAN PATOWARY,Assam,Bharatiya Janata Party,Dharmapur
Result Declared  ,36560,NILAMANI SEN DEKA,Assam,Indian National Congress,Dharmapur
Result Declared  ,2194,DIPAK BARMAN,Assam,Independent,Dharmapur
Result Declared  ,699,SANKAR TALUKDAR,Assam,Rashtriya Jankranti Party,Dharmapur
Result Declared  ,988,None of the Above,Assam,None of the Above,Dharmapur
Result Declared  ,38668,KAMALI BASUMATARI,Assam,Bodoland Peoples Front,Panery
Result Declared  ,22866,NANDA RAM BARO,Assam,Independent,Panery
Result Declared  ,19089,DURGADAS BORO,Assam,Indian National Congress,Panery
Result Declared  ,12812,PRABHAT DAS PANIKA,Assam,Independent,Panery
Result Declared  ,3644,SUDHENDU MOHAN TALUKDAR,Assam,Independent,Panery
Result Declared  ,3276,BIKAN CHANDRA DEKA,Assam,Independent,Panery
Result Declared  ,1978,MAHESH CHANDRA SARMA,Assam,Independent,Panery
Result Declared  ,1489,DINA NATH DAS,Assam,Independent,Panery
Result Declared  ,1364,SWARNALATA CHALIHA,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Panery
Result Declared  ,2427,None of the Above,Assam,None of the Above,Panery
Result Declared  ,43250,THANESWAR BASUMATARY,Assam,Bodoland Peoples Front,Chapaguri
Result Declared  ,41769,SUJAN DAS,Assam,Independent,Chapaguri
Result Declared  ,27342,HITESH BASUMATARY,Assam,Independent,Chapaguri
Result Declared  ,2058,None of the Above,Assam,None of the Above,Chapaguri
Result Declared  ,47206,MAHESWAR BARO,Assam,Bodoland Peoples Front,Kalaigaon
Result Declared  ,29585,NATHU RAM BORO,Assam,All India United Democratic Front,Kalaigaon
Result Declared  ,24287,MUKUNDA RAM CHOUDHURY,Assam,Asom Gana Parishad,Kalaigaon
Result Declared  ,11344,BABUL BASUMATARY,Assam,Independent,Kalaigaon
Result Declared  ,10367,INDRAJIT KUMAR SAIKIA,Assam,Indian National Congress,Kalaigaon
Result Declared  ,2238,SUDHENDU MOHAN TALUKDAR,Assam,Bharatiya Gana Parishad,Kalaigaon
Result Declared  ,1411,BRAJEN MAHANTA,Assam,Independent,Kalaigaon
Result Declared  ,1140,RADHE SHYAM CHAUHAN,Assam,Independent,Kalaigaon
Result Declared  ,783,BIJOY DAS,Assam,Independent,Kalaigaon
Result Declared  ,708,AROON BAROOA,Assam,New All India Congress Party,Kalaigaon
Result Declared  ,634,DR. NAYAN MANI BHAGAWATI,Assam,Independent,Kalaigaon
Result Declared  ,594,SUSHIL KUMAR SARMA,Assam,Lok Jan Shakti Party,Kalaigaon
Result Declared  ,531,JITENDRA CHALIHA,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Kalaigaon
Result Declared  ,484,GOPAL SARKAR,Assam,Independent,Kalaigaon
Result Declared  ,305,ABDUL SABUR,Assam,Independent,Kalaigaon
Result Declared  ,1199,None of the Above,Assam,None of the Above,Kalaigaon
Result Declared  ,73423,GURUJYOTI DAS,Assam,Bharatiya Janata Party,Mangaldoi
Result Declared  ,51378,BASANTA DAS,Assam,Indian National Congress,Mangaldoi
Result Declared  ,48417,HIREN KR DAS,Assam,All India United Democratic Front,Mangaldoi
Result Declared  ,953,JITENDRA SARKAR,Assam,Independent,Mangaldoi
Result Declared  ,874,BHUPEN CH. DAS,Assam,Lok Jan Shakti Party,Mangaldoi
Result Declared  ,841,ARJUN CH. DAS,Assam,Independent,Mangaldoi
Result Declared  ,466,JAGADISH CHANDRA SARKAR,Assam,Independent,Mangaldoi
Result Declared  ,1384,None of the Above,Assam,None of the Above,Mangaldoi
Result Declared  ,76607,ILIAS ALI,Assam,Indian National Congress,Dalgaon
Result Declared  ,74287,MAZIBUR RAHMAN,Assam,All India United Democratic Front,Dalgaon
Result Declared  ,24714,HABIBAR RAHMAN,Assam,Asom Gana Parishad,Dalgaon
Result Declared  ,1016,SARIFUDDIN AHMED,Assam,Independent,Dalgaon
Result Declared  ,926,ABDUR RAHIM,Assam,Independent,Dalgaon
Result Declared  ,900,MUSTAFA FAROOK AHMED,Assam,Independent,Dalgaon
Result Declared  ,707,AHMED ALI,Assam,Lok Jan Shakti Party,Dalgaon
Result Declared  ,1165,None of the Above,Assam,None of the Above,Dalgaon
Result Declared  ,65487,BINANDA KUMAR SAIKIA,Assam,Bharatiya Janata Party,Sipajhar
Result Declared  ,53312,DR ZOII NATH SARMAH,Assam,Indian National Congress,Sipajhar
Result Declared  ,10818,JAYANTA SAHARIA,Assam,Independent,Sipajhar
Result Declared  ,2476,SYED ABDULLAH,Assam,All India United Democratic Front,Sipajhar
Result Declared  ,1033,TRIDIB SARMA,Assam,Republican Party of India (A),Sipajhar
Result Declared  ,793,REJAUL HOQUE,Assam,Independent,Sipajhar
Result Declared  ,780,SARAT CHANDRA SARMA,Assam,Independent,Sipajhar
Result Declared  ,351,THANESWAR DAS,Assam,Lok Jan Shakti Party,Sipajhar
Result Declared  ,339,UMESH BANIA,Assam,Independent,Sipajhar
Result Declared  ,242,PAHESWARI BARUA,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Sipajhar
Result Declared  ,171,AMIYA KUMAR DEKA,Assam,Independent,Sipajhar
Result Declared  ,953,None of the Above,Assam,None of the Above,Sipajhar
Result Declared  ,48351,CHARAN BORO,Assam,Bodoland Peoples Front,Majbat
Result Declared  ,22133,TEHARU GOUR,Assam,All India United Democratic Front,Majbat
Result Declared  ,20577,RAPHAEL KUJUR,Assam,Indian National Congress,Majbat
Result Declared  ,8763,RABINDRA BASUMATARY,Assam,Independent,Majbat
Result Declared  ,2841,SAPNA DAIMARY,Assam,Independent,Majbat
Result Declared  ,2117,GIRISH CHANDRA CHAUDHURY,Assam,Independent,Majbat
Result Declared  ,1906,SUNIL SARKAR,Assam,Independent,Majbat
Result Declared  ,1276,BALDEV CHOUHAN,Assam,Lok Jan Shakti Party,Majbat
Result Declared  ,1007,LAL SOREN,Assam,Independent,Majbat
Result Declared  ,707,MANOJ KUMAR TAMULI,Assam,Independent,Majbat
Result Declared  ,380,ABUL QUASIM,Assam,Independent,Majbat
Result Declared  ,1974,None of the Above,Assam,None of the Above,Majbat
Result Declared  ,45037,RIHON DAIMARI,Assam,Bodoland Peoples Front,Udalguri
Result Declared  ,20663,ANJALI PRABHA DAIMARI,Assam,Independent,Udalguri
Result Declared  ,20204,DILIP KR. BARO,Assam,Independent,Udalguri
Result Declared  ,16343,JAMAN SINGH BRAHMA,Assam,Indian National Congress,Udalguri
Result Declared  ,3624,BIPUL NARZARY,Assam,Independent,Udalguri
Result Declared  ,1668,SANTOSH MADAHI,Assam,Independent,Udalguri
Result Declared  ,2456,None of the Above,Assam,None of the Above,Udalguri
Result Declared  ,71425,ASHOK  SINGHAL,Assam,Bharatiya Janata Party,Dhekiajuli
Result Declared  ,36430,HABUL CHAKRABORTY,Assam,Indian National Congress,Dhekiajuli
Result Declared  ,16690,DHANIRAM RAJOWAR,Assam,All India United Democratic Front,Dhekiajuli
Result Declared  ,8142,BENUDHAR NATH,Assam,Independent,Dhekiajuli
Result Declared  ,2972,RANJAY BASUMATARY,Assam,Independent,Dhekiajuli
Result Declared  ,2164,JAHIRUL ISLAM,Assam,Independent,Dhekiajuli
Result Declared  ,1603,SATRUGHNA SASONI,Assam,Independent,Dhekiajuli
Result Declared  ,1159,MOHAN CH NAG,Assam,Independent,Dhekiajuli
Result Declared  ,1127,MANORANJAN DAIMARI,Assam,Independent,Dhekiajuli
Result Declared  ,2368,None of the Above,Assam,None of the Above,Dhekiajuli
Result Declared  ,53912,GANESH KUMAR LIMBU,Assam,Bharatiya Janata Party,Barchalla
Result Declared  ,30230,TANKA BAHADUR RAI,Assam,Indian National Congress,Barchalla
Result Declared  ,23821,BINA DAIMARI,Assam,All India United Democratic Front,Barchalla
Result Declared  ,8847,NARAYAN SARMAH,Assam,Independent,Barchalla
Result Declared  ,1216,BIPHAI MINJ,Assam,Independent,Barchalla
Result Declared  ,1778,None of the Above,Assam,None of the Above,Barchalla
Result Declared  ,51597,PALLAB LOCHAN DAS,Assam,Bharatiya Janata Party,Rangapara
Result Declared  ,28606,BHIMANANDA TANTI,Assam,Indian National Congress,Rangapara
Result Declared  ,13281,BIJOY KUMAR TIRU,Assam,All India United Democratic Front,Rangapara
Result Declared  ,8033,ROYAL SORENG,Assam,Communist Party of India  (Marxist),Rangapara
Result Declared  ,6415,CHRISTOPHER DHANWAR,Assam,Independent,Rangapara
Result Declared  ,3438,ABHIJIT HAZARIKA,Assam,Independent,Rangapara
Result Declared  ,1362,JITENDRA KUMAR SHARMA,Assam,Independent,Rangapara
Result Declared  ,1255,MITHU MALAKAR,Assam,Independent,Rangapara
Result Declared  ,687,ABBAS KHAN,Assam,Independent,Rangapara
Result Declared  ,490,ARCHANA PAUL CHOUDHURY,Assam,Independent,Rangapara
Result Declared  ,2321,None of the Above,Assam,None of the Above,Rangapara
Result Declared  ,71170,BRINDABAN GOSWAMI,Assam,Asom Gana Parishad,Tezpur
Result Declared  ,36507,HIRANYA BHUYAN,Assam,Indian National Congress,Tezpur
Result Declared  ,22295,SUKENDRA NATH,Assam,All India United Democratic Front,Tezpur
Result Declared  ,1096,BIZIT SAIKIA,Assam,Independent,Tezpur
Result Declared  ,855,NAYAN MONI CHOUDHURY,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Tezpur
Result Declared  ,742,BHABANANDA DEKA,Assam,Independent,Tezpur
Result Declared  ,662,SUJIT SARMA,Assam,Jai Maha Bharath Party,Tezpur
Result Declared  ,569,MAHENDRA BHUYAN,Assam,Nationalist Congress Party,Tezpur
Result Declared  ,1514,None of the Above,Assam,None of the Above,Tezpur
Result Declared  ,60440,PADMA HAZARIKA,Assam,Bharatiya Janata Party,Sootea
Result Declared  ,58622,PRANESWAR BASUMATARY,Assam,Indian National Congress,Sootea
Result Declared  ,4914,KHEMRAJ CHETRY,Assam,Communist Party of India  (Marxist),Sootea
Result Declared  ,2484,JYOTI SUBBA,Assam,Independent,Sootea
Result Declared  ,2112,MAHENDRA URANG,Assam,Independent,Sootea
Result Declared  ,1189,ARUN NATH,Assam,Independent,Sootea
Result Declared  ,1941,None of the Above,Assam,None of the Above,Sootea
Result Declared  ,85424,UTPAL BORAH,Assam,Bharatiya Janata Party,Gohpur
Result Declared  ,56489,MONIKA BORA,Assam,Indian National Congress,Gohpur
Result Declared  ,1189,HALAN PURTTI,Assam,Communist Party of India  (Marxist-Leninist)  (Liberation),Gohpur
Result Declared  ,967,SABIR NARZARY,Assam,Independent,Gohpur
Result Declared  ,928,DEBEN SAIKIA,Assam,Independent,Gohpur
Result Declared  ,1621,None of the Above,Assam,None of the Above,Gohpur
Result Declared  ,80669,RAMA KANTA DEWRI,Assam,Bharatiya Janata Party,Marigaon
Result Declared  ,51046,JONJONALI BARUAH,Assam,Indian National Congress,Marigaon
Result Declared  ,3526,SHRI MUNIN MAHANTA,Assam,Communist Party of India,Marigaon
Result Declared  ,2441,SRI LACHIT CH MEDHI,Assam,Independent,Marigaon
Result Declared  ,1403,SHRI RAMEN NATH,Assam,Independent,Marigaon
Result Declared  ,920,KHAIRUN NESSA,Assam,Independent,Marigaon
Result Declared  ,417,DR. DHIREN CHANDRA NATH,Assam,Independent,Marigaon
Result Declared  ,870,None of the Above,Assam,None of the Above,Marigaon
Result Declared  ,45289,MANESWAR BRAHMA,Assam,Bodoland Peoples Front,Barama
Result Declared  ,35493,REKHA RANI DAS BORO,Assam,Independent,Barama
Result Declared  ,20870,KATI RAM BARO,Assam,Independent,Barama
Result Declared  ,14373,PANI RAM RABHA,Assam,Indian National Congress,Barama
Result Declared  ,1484,BHUPEN DAS,Assam,Independent,Barama
Result Declared  ,1977,None of the Above,Assam,None of the Above,Barama
Result Declared  ,94550,SHRI PIJUSH HAZARIKA,Assam,Bharatiya Janata Party,Jagiroad
Result Declared  ,66224,SHRI BIBEKANANDA DALAI,Assam,Indian National Congress,Jagiroad
Result Declared  ,7192,SHRI PUTUL DAS,Assam,All India United Democratic Front,Jagiroad
Result Declared  ,1357,SHRI DILIP DAS,Assam,All India Trinamool Congress,Jagiroad
Result Declared  ,576,SHRI SUKANTA MAZUMDAR,Assam,Bharatiya Gana Parishad,Jagiroad
Result Declared  ,523,SMT. MAMANI DAS,Assam,Independent,Jagiroad
Result Declared  ,401,SHRI SURJYA KUMAR DAS,Assam,Liberal Democratic Party,Jagiroad
Result Declared  ,1142,None of the Above,Assam,None of the Above,Jagiroad
Result Declared  ,52152,RANJIT DUTTA,Assam,Bharatiya Janata Party,Behali
Result Declared  ,28551,RUPAK SARMA,Assam,Indian National Congress,Behali
Result Declared  ,8025,BIBEK DAS,Assam,Communist Party of India  (Marxist-Leninist)  (Liberation),Behali
Result Declared  ,1573,ZULFIKAR HUSSAIN,Assam,Independent,Behali
Result Declared  ,2495,None of the Above,Assam,None of the Above,Behali
Result Declared  ,46343,ANGOORLATA DEKA,Assam,Bharatiya Janata Party,Batadroba
Result Declared  ,40458,GAUTAM BORA,Assam,Indian National Congress,Batadroba
Result Declared  ,33022,NAJIR UDDIN AHMED,Assam,All India United Democratic Front,Batadroba
Result Declared  ,830,RAJASREE BORA,Assam,Independent,Batadroba
Result Declared  ,559,ARUP KUMAR MAHANTA,Assam,Communist Party of India  (Marxist-Leninist)  (Liberation),Batadroba
Result Declared  ,551,MUKUL BORAH,Assam,Independent,Batadroba
Result Declared  ,434,PABAN PRAN RABI DAS,Assam,Bharat Vikas Morcha,Batadroba
Result Declared  ,237,DILWAR AHMED,Assam,Independent,Batadroba
Result Declared  ,792,None of the Above,Assam,None of the Above,Batadroba
Result Declared  ,72627,NURUL HUDA,Assam,Indian National Congress,Rupohihat
Result Declared  ,50783,NURUL AMIN CHOWDHURY,Assam,All India United Democratic Front,Rupohihat
Result Declared  ,15963,JAKARIA HAQUE CHOUDHURY,Assam,Bharatiya Janata Party,Rupohihat
Result Declared  ,9671,ABDUL AZIZ,Assam,Independent,Rupohihat
Result Declared  ,1019,ABU  HANIFA,Assam,Jan Congress Party,Rupohihat
Result Declared  ,901,FAIZUR RAHMAN,Assam,Independent,Rupohihat
Result Declared  ,709,BIJU BORO,Assam,Independent,Rupohihat
Result Declared  ,419,NAZIR HUSSAIN,Assam,Independent,Rupohihat
Result Declared  ,803,None of the Above,Assam,None of the Above,Rupohihat
Result Declared  ,76941,DIMBESWAR DAS,Assam,Bharatiya Janata Party,Raha
Result Declared  ,43867,SASHI KANTA DAS,Assam,Indian National Congress,Raha
Result Declared  ,38767,GUNESWAR DAS,Assam,All India United Democratic Front,Raha
Result Declared  ,2052,None of the Above,Assam,None of the Above,Raha
Result Declared  ,82786,AMINUL ISLAM,Assam,All India United Democratic Front,Dhing
Result Declared  ,58233,ANWAR HUSSAIN,Assam,Indian National Congress,Dhing
Result Declared  ,17807,MUZIBUR RAHMAN,Assam,Independent,Dhing
Result Declared  ,8958,MUKUT KUMAR DEBNATH,Assam,Bharatiya Janata Party,Dhing
Result Declared  ,1004,MUBARAK ALI PATHAN,Assam,Independent,Dhing
Result Declared  ,843,MAINUL HOQUE,Assam,Independent,Dhing
Result Declared  ,823,RAJANI KANTA NATH,Assam,Jai Maha Bharath Party,Dhing
Result Declared  ,737,JAMANUR RAHMAN,Assam,Revolutionary Communist Party of India  (Rasik Bhatt),Dhing
Result Declared  ,710,JEHIRUL ISLAM,Assam,All India Trinamool Congress,Dhing
Result Declared  ,1358,None of the Above,Assam,None of the Above,Dhing
Result Declared  ,66706,RUPAK SARMAH,Assam,Bharatiya Janata Party,Nowgong
Result Declared  ,53442,DR. DURLAV CHAMUA,Assam,Indian National Congress,Nowgong
Result Declared  ,18038,KARTICK SAHA,Assam,All India United Democratic Front,Nowgong
Result Declared  ,491,BIREN CHANDRA DAS,Assam,Akhil Bharat Hindu Mahasabha,Nowgong
Result Declared  ,376,SHANTANA MAHATO,Assam,Independent,Nowgong
Result Declared  ,322,JESMIN AHMED,Assam,Independent,Nowgong
Result Declared  ,268,MIHIR PAUL,Assam,All India Trinamool Congress,Nowgong
Result Declared  ,230,ANSER ALI ALOM,Assam,Independent,Nowgong
Result Declared  ,782,None of the Above,Assam,None of the Above,Nowgong
Result Declared  ,57904,DR. NAZRUL ISLAM,Assam,Indian National Congress,Laharighat
Result Declared  ,52098,SIDDIQUE AHMED,Assam,All India United Democratic Front,Laharighat
Result Declared  ,25692,SHRI JADUMONI PATAR,Assam,Asom Gana Parishad,Laharighat
Result Declared  ,1752,SHRI RABINDRA NATH BISWAS,Assam,Independent,Laharighat
Result Declared  ,1494,SHRI RANJIT KUMAR DEKA,Assam,Independent,Laharighat
Result Declared  ,930,None of the Above,Assam,None of the Above,Laharighat
Result Declared  ,65768,SRI PRAFULLA KUMAR MAHANTA,Assam,Asom Gana Parishad,Barhampur
Result Declared  ,60599,SURESH BORA,Assam,Indian National Congress,Barhampur
Result Declared  ,2787,SHARIFUL ISLAM SIDDIQUE,Assam,All India United Democratic Front,Barhampur
Result Declared  ,1687,LAKHAN CH.MIRDHA,Assam,Communist Party of India,Barhampur
Result Declared  ,1184,PRAHLAD CHANDRA BHUYAN,Assam,Independent,Barhampur
Result Declared  ,754,ABIDA BEGUM,Assam,Rashtriya Jankranti Party,Barhampur
Result Declared  ,607,PAWAN PANIKA,Assam,Forward Democratic Labour Party,Barhampur
Result Declared  ,480,ABDUL ALI,Assam,Independent,Barhampur
Result Declared  ,461,DEBABRATA SAIKIA,Assam,Independent,Barhampur
Result Declared  ,284,SONA RAM BORA,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Barhampur
Result Declared  ,1179,None of the Above,Assam,None of the Above,Barhampur
Result Declared  ,64225,PROMOD BORTHAKUR,Assam,Bharatiya Janata Party,Biswanath
Result Declared  ,54105,NURJAMAL SARKAR,Assam,Indian National Congress,Biswanath
Result Declared  ,2056,GOPI CHAND SHAHABADI,Assam,Janata Dal  (United),Biswanath
Result Declared  ,2341,None of the Above,Assam,None of the Above,Biswanath
Result Declared  ,64759,KESHAB MAHANTA,Assam,Asom Gana Parishad,Kaliabor
Result Declared  ,26769,BINDU GANJU,Assam,Indian National Congress,Kaliabor
Result Declared  ,3682,BOLORAM NAG,Assam,All India United Democratic Front,Kaliabor
Result Declared  ,2325,BIJAY KUMAR CHAMARIA,Assam,Independent,Kaliabor
Result Declared  ,2063,PROMODE BHUYAN,Assam,Communist Party of India,Kaliabor
Result Declared  ,1016,JAYANTA ORANG,Assam,Independent,Kaliabor
Result Declared  ,870,BHUPEN CHANDRA BORAH,Assam,Liberal Democratic Party,Kaliabor
Result Declared  ,794,BHASKAR SHARMA,Assam,Independent,Kaliabor
Result Declared  ,503,BIREN MIRDHA,Assam,Bharat Vikas Morcha,Kaliabor
Result Declared  ,1626,None of the Above,Assam,None of the Above,Kaliabor
Result Declared  ,66364,RAKIBUL HUSSAIN,Assam,Indian National Congress,Samaguri
Result Declared  ,51849,JITU GOSWAMI,Assam,Bharatiya Janata Party,Samaguri
Result Declared  ,6726,MOSKUR RAHMAN CHOUDHURY,Assam,All India United Democratic Front,Samaguri
Result Declared  ,1282,SRI CHITTA RANJAN PAUL,Assam,Independent,Samaguri
Result Declared  ,562,PRADIP KALITA,Assam,Independent,Samaguri
Result Declared  ,968,None of the Above,Assam,None of the Above,Samaguri
Result Declared  ,65599,ABDUR RAHIM AJMAL,Assam,All India United Democratic Front,Jamunamukh
Result Declared  ,52394,REJAUL KARIM CHOWDHURY,Assam,Independent,Jamunamukh
Result Declared  ,23849,BASHIR UDDIN LASKAR,Assam,Indian National Congress,Jamunamukh
